,id,home_od,away_od,ss,add_time
379,325296026,1.533,2.375,"0-0,0-0",1682958909
181,58462647,1.400,3.000,"0-0,15-0",1682959710
377,325296325,1.400,2.750,"0-0,30-0",1682959727
180,58462666,1.363,3.200,"0-0,40-0",1682959751
179,58462699,1.333,3.400,"1-0,0-0",1682959823
178,58462710,1.400,3.000,"1-0,0-15",1682959856
175,58462741,1.333,3.400,"1-0,15-15",1682959935
174,58462747,1.285,3.750,"1-0,30-15",1682959945
173,58462753,1.222,4.333,"1-0,40-15",1682959960
172,58462783,1.166,5.000,"2-0,0-0",1682960042
171,58462794,1.200,4.500,"2-0,15-0",1682960065
170,58462801,1.222,4.333,"2-0,30-0",1682960081
168,58462837,1.222,4.333,"2-0,40-0",1682960163
164,58462900,1.166,5.000,"3-0,0-0",1682960266
162,58462927,1.166,5.000,"3-0,15-0",1682960318
161,58462933,1.142,5.500,"3-0,30-0",1682960337
160,58462937,1.125,6.000,"3-0,40-0",1682960346
159,58462976,1.111,6.500,"4-0,0-0",1682960410
158,58462984,1.125,6.000,"3-0,40-15",1682960426
157,58462999,1.100,7.000,"4-0,15-0",1682960471
156,58463009,1.062,10.000,"4-0,15-15",1682960509
346,325296650,1.004,41.000,"4-0,30-15",1682960526
344,325296658,1.002,51.000,"4-0,40-15",1682960540
152,58463081,1.062,10.000,"5-0,0-0",1682960660
150,58463114,1.040,13.000,"5-0,15-15",1682960732
148,58463144,1.062,10.000,"5-0,15-30",1682960763
147,58463151,1.050,11.000,"5-0,0-15",1682960771
146,58463164,1.062,10.000,"5-0,30-30",1682960791
333,325296803,1.002,51.000,"5-0,30-40",1682960807
145,58463190,1.071,9.000,"5-1,0-0",1682960863
144,58463200,1.062,10.000,"5-1,15-0",1682960888
330,325296838,-,-,"5-1,30-0",1682960919
142,58463220,1.062,10.000,"5-1,40-0",1682960956
140,58463241,1.062,10.000,"6-1,0-0,0-0",1682961006
139,58463285,1.071,9.000,"6-1,0-0,0-15",1682961103
138,58463293,1.083,8.000,"6-1,0-0,0-30",1682961129
323,325296956,1.333,3.250,"6-1,0-0,0-40",1682961168
137,58463315,1.100,7.000,"6-1,0-1,0-0",1682961209
136,58463331,1.083,8.000,"6-1,0-1,15-0",1682961232
321,325296986,1.285,3.500,"6-1,0-1,30-0",1682961245
135,58463346,1.071,9.000,"6-1,0-1,40-0",1682961263
134,58463372,1.083,8.000,"6-1,1-1,0-15",1682961350
133,58463375,1.071,9.000,"6-1,1-1,0-0",1682961360
131,58463395,1.071,9.000,"6-1,1-1,15-15",1682961435
130,58463399,1.050,11.000,"6-1,1-1,30-15",1682961443
126,58463431,1.030,15.000,"6-1,1-1,40-15",1682961527
125,58463435,1.050,11.000,"6-1,1-1,40-30",1682961534
124,58463447,1.062,10.000,"6-1,1-1,40-40",1682961557
123,58463454,1.083,8.000,"6-1,1-1,40-A",1682961588
122,58463468,1.100,7.000,"6-1,1-2,0-0",1682961612
121,58463524,1.083,8.000,"6-1,1-2,15-0",1682961737
120,58463527,1.071,9.000,"6-1,1-2,30-0",1682961747
305,325297198,1.250,3.750,"6-1,2-2,0-0",1682961794
118,58463573,1.062,10.000,"6-1,2-2,15-15",1682961873
117,58463576,1.050,11.000,"6-1,2-2,15-0",1682961883
116,58463580,1.071,9.000,"6-1,2-2,15-30",1682961893
113,58463610,1.083,8.000,"6-1,2-2,15-40",1682961988
112,58463611,1.071,9.000,"6-1,2-2,30-40",1682961989
111,58463615,1.083,8.000,"6-1,2-3,0-0",1682961994
295,325297278,1.300,3.400,"6-1,2-3,15-0",1682962110
110,58463657,1.100,7.000,"6-1,2-3,15-15",1682962148
109,58463677,1.071,9.000,"6-1,2-3,40-15",1682962203
108,58463697,1.083,8.000,"6-1,3-3,0-15",1682962282
105,58463718,1.062,10.000,"6-1,3-3,15-15",1682962347
104,58463725,1.083,8.000,"6-1,3-3,15-30",1682962362
103,58463741,1.062,10.000,"6-1,3-3,30-30",1682962388
102,58463747,1.083,8.000,"6-1,3-3,30-40",1682962402
99,58463811,1.100,7.000,"6-1,3-4,0-0",1682962567
98,58463818,1.083,8.000,"6-1,3-4,30-15",1682962600
97,58463820,1.125,6.000,"6-1,3-4,0-15",1682962608
96,58463828,1.083,8.000,"6-1,3-4,40-15",1682962648
95,58463833,1.071,9.000,"6-1,4-4,0-0",1682962654
