,id,home_od,away_od,ss,add_time
171,66984195,1.800,1.950,"0-0,0-0",1692728993
170,66984895,1.950,1.800,"0-0,0-15",1692729605
169,66984921,1.800,1.950,"0-0,15-15",1692729634
167,66984998,1.700,2.050,"0-0,40-15",1692729713
166,66985034,1.800,1.950,"0-0,30-15",1692729755
164,66985080,2.050,1.700,"0-0,40-A",1692729818
159,66985288,1.950,1.800,"0-0,40-40",1692730016
158,66985359,1.909,1.909,"0-0,A-40",1692730093
155,66985444,1.800,1.950,"1-0,0-0",1692730209
154,66985463,1.700,2.050,"1-0,15-0",1692730234
153,66985491,1.800,1.950,"1-0,15-15",1692730267
335,333670549,1.800,1.950,"1-0,15-30",1692730292
152,66985537,1.750,2.000,"1-0,30-30",1692730324
151,66985568,1.800,1.950,"1-0,30-40",1692730355
146,66985754,1.800,1.950,"1-0,40-A",1692730538
145,66985777,1.700,2.050,"1-0,40-40",1692730565
144,66985823,1.571,2.250,"1-0,A-40",1692730616
143,66985870,1.444,2.625,"2-0,0-0",1692730666
142,66985908,1.400,2.750,"2-0,15-0",1692730710
324,333670999,1.142,5.500,"2-0,30-0",1692730735
141,66985980,1.363,3.000,"2-0,40-0",1692730769
323,333671060,1.125,6.000,"3-0,0-0",1692730794
139,66986120,1.363,3.000,"3-0,0-15",1692730955
136,66986176,1.400,2.750,"3-0,0-30",1692731007
135,66986182,1.363,3.000,"3-0,15-30",1692731011
134,66986186,1.333,3.250,"3-0,30-30",1692731013
133,66986228,1.363,3.000,"3-0,30-40",1692731058
130,66986351,1.333,3.250,"3-0,40-40",1692731189
127,66986437,1.363,3.000,"3-0,40-A",1692731278
124,66986464,1.333,3.250,"3-1,0-0",1692731303
121,66986517,1.400,2.750,"3-1,0-15",1692731352
120,66986519,1.333,3.250,"3-1,15-15",1692731354
119,66986531,1.300,3.400,"3-1,30-15",1692731369
118,66986567,1.285,3.500,"3-1,40-15",1692731416
299,333671699,1.083,8.000,"4-1,0-0",1692731433
298,333671824,1.100,7.000,"4-1,0-15",1692731570
117,66986729,1.250,3.750,"4-1,15-15",1692731599
296,333671866,1.062,10.000,"4-1,30-15",1692731633
116,66986821,1.222,4.000,"4-1,40-30",1692731711
115,66986849,1.250,3.750,"4-1,30-30",1692731736
112,66986974,1.285,3.500,"4-1,40-A",1692731838
111,66986976,1.250,3.750,"4-1,40-40",1692731841
108,66987102,1.181,4.500,"5-1,0-0",1692731936
107,66987127,1.200,4.333,"5-1,0-15",1692731953
105,66987179,1.200,4.333,"5-1,15-15",1692731984
104,66987182,1.181,4.500,"5-1,30-15",1692731987
103,66987235,1.200,4.333,"5-1,30-30",1692732022
102,66987276,1.181,4.500,"5-1,40-30",1692732051
101,66987298,1.166,5.000,"6-1,0-0,0-0",1692732076
100,66987487,1.142,5.500,"6-1,0-0,15-0",1692732256
99,66987543,1.166,5.000,"6-1,0-0,15-15",1692732301
98,66987563,1.181,4.500,"6-1,0-0,15-30",1692732334
96,66987606,1.142,5.500,"6-1,0-0,30-30",1692732394
95,66987633,1.111,6.500,"6-1,0-0,40-30",1692732433
94,66987650,1.071,9.000,"6-1,1-0,0-0",1692732457
93,66987743,1.062,10.000,"6-1,1-0,15-0",1692732544
92,66987777,1.071,9.000,"6-1,1-0,15-15",1692732571
91,66987850,1.062,10.000,"6-1,1-0,30-15",1692732611
90,66987884,1.083,8.000,"6-1,1-0,30-30",1692732653
89,66987899,1.062,10.000,"6-1,1-0,40-30",1692732682
88,66987921,1.050,11.000,"6-1,2-0,0-0",1692732714
85,66988016,1.040,13.000,"6-1,2-0,15-0",1692732818
84,66988025,1.050,11.000,"6-1,2-0,15-15",1692732825
81,66988091,1.040,13.000,"6-1,2-0,30-15",1692732868
78,66988145,1.050,11.000,"6-1,2-0,30-30",1692732915
77,66988160,1.030,15.000,"6-1,2-0,40-30",1692732932
76,66988188,1.050,11.000,"6-1,2-0,40-40",1692732951
73,66988296,1.062,10.000,"6-1,2-0,40-A",1692733042
72,66988300,1.071,9.000,"6-1,2-1,0-0",1692733045
71,66988377,1.062,10.000,"6-1,2-1,15-0",1692733114
70,66988392,1.071,9.000,"6-1,2-1,15-15",1692733133
69,66988421,1.062,10.000,"6-1,2-1,30-15",1692733175
68,66988441,1.050,11.000,"6-1,2-1,40-15",1692733200
65,66988538,1.040,13.000,"6-1,3-1,0-0",1692733293
64,66988541,1.050,11.000,"6-1,3-1,0-15",1692733294
236,333673569,1.142,5.500,"6-1,3-1,0-30",1692733306
234,333673664,1.142,5.500,"6-1,3-1,15-40",1692733396
58,66988863,1.062,10.000,"6-1,3-2,0-0",1692733584
57,66988870,1.040,13.000,"6-1,3-2,30-0",1692733588
55,66988894,1.050,11.000,"6-1,3-2,15-0",1692733601
54,66988897,1.030,15.000,"6-1,3-2,40-0",1692733606
53,66988911,1.040,13.000,"6-1,3-2,40-15",1692733615
52,66988962,1.050,11.000,"6-1,3-2,40-30",1692733660
51,66988993,1.040,13.000,"6-1,4-2,0-0",1692733693
48,66989104,1.025,17.000,"6-1,4-2,15-0",1692733807
45,66989157,1.030,15.000,"6-1,4-2,15-15",1692733845
44,66989165,1.020,19.000,"6-1,4-2,30-15",1692733847
43,66989203,1.030,15.000,"6-1,4-2,30-30",1692733891
40,66989273,1.040,13.000,"6-1,4-2,30-40",1692733997
39,66989290,1.050,11.000,"6-1,4-3,0-0",1692734015
38,66989415,1.030,15.000,"6-1,4-3,15-0",1692734123
37,66989445,1.050,11.000,"6-1,4-3,15-15",1692734155
34,66989519,1.050,11.000,"6-1,4-3,30-30",1692734238
33,66989527,1.030,15.000,"6-1,4-3,30-15",1692734249
204,333674556,1.083,8.000,"6-1,4-3,40-30",1692734288
32,66989606,1.020,19.000,"6-1,5-3,0-0",1692734312
31,66989642,1.012,23.000,"6-1,5-3,15-0",1692734343
30,66989662,1.006,29.000,"6-1,5-3,30-0",1692734371
24,66989743,1.010,26.000,"6-1,5-3,30-15",1692734488
23,66989746,-,-,"6-1,5-3,40-15",1692734489
22,66989805,1.010,26.000,"6-1,5-3,40-30",1692734541
18,66989869,1.015,21.000,"6-1,5-3,40-40",1692734639
13,66989956,1.020,19.000,"6-1,5-3,40-A",1692734759
12,66989981,1.025,17.000,"6-1,5-4,0-0",1692734786
11,66990049,1.012,23.000,"6-1,5-4,15-0",1692734861
10,66990073,1.030,15.000,"6-1,5-4,15-15",1692734899
8,66990107,1.015,21.000,"6-1,5-4,30-15",1692734936
1,66990207,1.004,41.000,"6-1,5-4,40-15",1692735023
0,66990213,-,-,"6-1,5-4,40-30",1692735028
