,id,home_od,away_od,ss,add_time
704,334153942,3.000,1.363,"0-0,0-15",1693339849
307,67478519,4.000,1.250,"0-0,0-0",1693339860
306,67478539,4.333,1.222,"0-0,0-30",1693339879
700,334153981,3.400,1.300,"0-0,0-40",1693339882
305,67478609,4.500,1.200,"0-1,0-0",1693339931
696,334154096,4.000,1.222,"0-1,0-15",1693339987
694,334154134,3.750,1.250,"0-1,15-15",1693340030
304,67478710,5.000,1.166,"0-1,15-30",1693340035
690,334154189,5.500,1.142,"0-1,15-40",1693340091
301,67478820,6.000,1.125,"0-2,0-0",1693340151
300,67478823,5.500,1.142,"0-2,15-0",1693340155
685,334154272,7.000,1.100,"0-2,15-15",1693340175
299,67478856,6.000,1.125,"0-2,15-30",1693340189
295,67478922,6.000,1.125,"0-2,15-40",1693340262
292,67478946,5.500,1.142,"0-2,30-40",1693340288
289,67479051,6.000,1.125,"0-3,0-0",1693340415
286,67479091,6.500,1.111,"0-3,0-15",1693340457
284,67479119,6.500,1.111,"0-3,15-30",1693340484
283,67479129,6.000,1.125,"0-3,15-15",1693340489
282,67479165,7.000,1.100,"0-3,15-40",1693340527
281,67479176,6.500,1.111,"0-3,30-40",1693340538
278,67479277,6.000,1.125,"0-3,A-40",1693340647
275,67479331,6.500,1.111,"0-3,40-40",1693340692
274,67479334,7.000,1.100,"0-3,40-A",1693340693
273,67479372,8.000,1.083,"0-4,0-0",1693340727
649,334154790,26.000,1.010,"0-4,0-15",1693340783
272,67479436,7.000,1.100,"0-4,15-15",1693340811
271,67479488,8.000,1.083,"0-4,15-40",1693340855
269,67479523,8.000,1.083,"0-4,15-30",1693340892
268,67479536,9.000,1.071,"0-5,0-0",1693340905
267,67479594,8.000,1.083,"0-5,15-0",1693340998
266,67479635,7.000,1.100,"0-5,40-0",1693341071
265,67479655,8.000,1.083,"0-5,40-15",1693341103
638,334155072,51.000,1.002,"1-5,0-15",1693341162
635,334155102,101.000,1.001,"1-5,0-30",1693341227
264,67479766,7.000,1.100,"1-5,15-30",1693341270
263,67479775,8.000,1.083,"1-5,15-40",1693341292
629,334155149,3.750,1.250,"1-6,0-0,0-0",1693341323
