,id,home_od,away_od,ss,add_time
172,55750475,1.166,5.000,"0-0,0-0",1677783628
369,322651788,1.222,4.000,"0-0,15-0",1677784048
171,55750794,1.142,5.500,"0-0,30-0",1677784091
367,322651826,1.181,4.500,"0-0,40-0",1677784099
170,55750855,1.166,5.000,"1-0,0-15",1677784192
169,55750861,1.142,5.500,"1-0,0-0",1677784197
166,55750889,1.166,5.000,"1-0,0-30",1677784248
165,55750894,1.142,5.500,"1-0,15-30",1677784253
163,55750932,1.111,6.500,"1-0,40-30",1677784304
162,55750942,1.125,6.000,"1-0,30-30",1677784312
161,55750979,1.142,5.500,"1-0,40-A",1677784353
160,55750995,1.166,5.000,"1-1,0-0",1677784380
352,322652057,1.250,3.750,"1-1,15-0",1677784445
159,55751043,1.142,5.500,"1-1,30-0",1677784453
158,55751084,1.166,5.000,"1-1,30-15",1677784494
155,55751164,1.200,4.500,"1-1,30-30",1677784589
154,55751168,1.222,4.333,"1-1,30-40",1677784598
151,55751204,1.200,4.500,"1-1,40-40",1677784646
150,55751227,1.166,5.000,"1-1,A-40",1677784676
340,322652269,1.222,4.000,"2-1,0-0",1677784719
149,55751344,1.142,5.500,"2-1,15-0",1677784827
145,55751425,-,-,"2-1,15-15",1677784935
144,55751431,1.166,5.000,"2-1,15-30",1677784940
143,55751470,1.200,4.500,"2-2,0-0",1677784996
332,322652486,1.285,3.500,"2-2,15-0",1677785031
142,55751512,1.166,5.000,"2-2,30-0",1677785048
140,55751681,1.166,5.000,"3-2,0-0",1677785280
139,55751692,1.142,5.500,"3-2,15-0",1677785290
137,55751703,1.142,5.500,"3-2,15-15",1677785304
136,55751719,1.166,5.000,"3-2,15-30",1677785324
135,55751754,1.200,4.500,"3-2,15-40",1677785362
134,55751785,1.222,4.333,"3-3,0-0",1677785400
133,55751830,1.200,4.500,"3-3,15-0",1677785476
132,55751861,1.166,5.000,"3-3,30-0",1677785527
130,55751909,1.166,5.000,"3-3,40-15",1677785590
129,55751923,1.200,4.500,"3-3,30-15",1677785605
127,55752004,1.200,4.500,"4-3,0-0",1677785717
126,55752093,1.166,5.000,"4-3,30-15",1677785852
124,55752128,1.111,6.500,"4-3,40-15",1677785898
123,55752157,1.142,5.500,"4-3,40-30",1677785939
122,55752164,1.166,5.000,"4-3,40-40",1677785947
121,55752178,1.222,4.333,"4-3,40-A",1677785969
120,55752201,1.250,4.000,"4-4,0-0",1677786004
119,55752228,1.300,3.500,"4-4,0-15",1677786036
118,55752276,1.250,4.000,"4-4,15-15",1677786102
117,55752278,1.222,4.333,"4-4,30-15",1677786106
116,55752310,1.285,3.750,"4-4,30-30",1677786154
115,55752359,1.400,3.000,"4-4,30-40",1677786230
114,55752380,1.285,3.750,"4-4,40-40",1677786262
112,55752413,-,-,"4-4,A-40",1677786313
111,55752421,1.200,4.500,"5-4,0-0",1677786325
110,55752491,1.222,4.333,"5-4,0-15",1677786448
109,55752507,1.200,4.500,"5-4,15-15",1677786470
108,55752526,1.222,4.333,"5-4,15-30",1677786507
106,55752563,1.166,5.000,"5-4,30-30",1677786566
105,55752572,1.222,4.333,"5-4,30-40",1677786577
102,55752624,1.142,5.500,"5-4,A-40",1677786661
101,55752656,1.200,4.500,"5-4,40-40",1677786725
100,55752672,1.222,4.333,"5-4,40-A",1677786747
99,55752692,1.250,4.000,"5-5,0-0",1677786781
98,55752729,1.300,3.500,"5-5,0-15",1677786842
97,55752737,1.285,3.750,"5-5,15-15",1677786858
96,55752744,1.250,4.000,"5-5,30-15",1677786874
95,55752789,1.222,4.333,"5-5,40-15",1677786946
94,55752795,1.200,4.500,"6-5,0-0",1677786960
93,55752867,1.166,5.000,"6-5,15-0",1677787105
92,55752876,1.125,6.000,"6-5,30-0",1677787122
91,55752898,1.083,8.000,"6-5,40-0",1677787179
90,55752914,1.111,6.500,"6-5,40-15",1677787209
89,55752937,-,-,"6-5,40-30",1677787257
87,55753057,1.071,9.000,"7-5,0-0,0-0",1677787527
86,55753072,1.083,8.000,"7-5,0-0,0-15",1677787560
85,55753092,1.071,9.000,"7-5,0-0,15-15",1677787605
84,55753109,1.083,8.000,"7-5,0-0,15-30",1677787638
83,55753120,1.062,10.000,"7-5,0-0,30-30",1677787653
82,55753136,1.083,8.000,"7-5,0-0,30-40",1677787687
75,55753287,1.050,11.000,"7-5,0-0,A-40",1677787936
74,55753309,1.071,9.000,"7-5,0-0,40-40",1677787968
73,55753313,1.050,11.000,"7-5,1-0,0-0",1677787975
72,55753340,1.062,10.000,"7-5,1-0,0-15",1677788013
71,55753361,1.071,9.000,"7-5,1-0,0-30",1677788034
70,55753402,1.083,8.000,"7-5,1-1,0-0",1677788094
69,55753428,1.071,9.000,"7-5,1-1,15-0",1677788132
68,55753457,1.083,8.000,"7-5,1-1,15-15",1677788173
67,55753481,1.111,6.500,"7-5,1-1,15-30",1677788217
66,55753525,1.142,5.500,"7-5,1-1,15-40",1677788274
65,55753552,1.083,8.000,"7-5,1-1,40-40",1677788304
64,55753557,1.071,9.000,"7-5,1-1,A-40",1677788313
63,55753589,1.062,10.000,"7-5,2-1,0-0",1677788358
61,55753671,1.071,9.000,"7-5,2-1,0-15",1677788481
60,55753679,1.062,10.000,"7-5,2-1,15-15",1677788499
59,55753693,1.071,9.000,"7-5,2-1,15-30",1677788525
58,55753712,1.083,8.000,"7-5,2-1,15-40",1677788565
57,55753740,1.100,7.000,"7-5,2-2,0-0",1677788608
56,55753790,1.083,8.000,"7-5,2-2,15-0",1677788668
55,55753824,1.071,9.000,"7-5,2-2,30-0",1677788702
229,322654696,1.285,3.500,"7-5,2-2,40-0",1677788737
54,55753868,1.062,10.000,"7-5,3-2,0-0",1677788763
51,55754013,1.050,11.000,"7-5,3-2,15-0",1677788957
50,55754020,1.062,10.000,"7-5,3-2,15-15",1677788964
49,55754045,1.040,13.000,"7-5,3-2,30-15",1677788996
47,55754075,1.050,11.000,"7-5,3-2,30-30",1677789033
46,55754080,1.071,9.000,"7-5,3-2,30-40",1677789037
45,55754098,1.083,8.000,"7-5,3-3,0-0",1677789067
44,55754143,1.071,9.000,"7-5,3-3,15-0",1677789142
216,322655000,1.285,3.500,"7-5,3-3,30-0",1677789168
43,55754180,1.083,8.000,"7-5,3-3,30-15",1677789196
42,55754185,1.071,9.000,"7-5,3-3,40-15",1677789203
41,55754207,1.062,10.000,"7-5,4-3,0-0",1677789232
39,55754303,1.040,13.000,"7-5,4-3,15-0",1677789386
38,55754333,1.062,10.000,"7-5,4-3,15-15",1677789428
37,55754363,1.071,9.000,"7-5,4-3,15-30",1677789465
36,55754400,1.083,8.000,"7-5,4-3,15-40",1677789511
35,55754418,1.100,7.000,"7-5,4-4,0-0",1677789532
33,55754497,1.100,7.000,"7-5,4-4,15-15",1677789623
32,55754505,1.083,8.000,"7-5,4-4,15-0",1677789630
30,55754563,1.083,8.000,"7-5,4-4,30-15",1677789696
28,55754581,1.071,9.000,"7-5,4-4,40-15",1677789711
