,id,home_od,away_od,ss,add_time
168,55576257,2.750,1.444,"0-0,0-0",1677535300
167,55576348,3.000,1.400,"0-0,0-30",1677535683
166,55576351,3.200,1.363,"0-0,0-40",1677535692
164,55576371,3.200,1.363,"0-1,0-15",1677535799
163,55576373,3.000,1.400,"0-1,15-15",1677535808
162,55576380,2.750,1.444,"0-1,30-15",1677535828
161,55576385,3.000,1.400,"0-1,30-30",1677535859
160,55576395,2.750,1.444,"0-1,40-30",1677535882
156,55576424,3.200,1.363,"0-1,40-40",1677535985
155,55576442,2.750,1.444,"0-1,A-40",1677536036
341,322479482,2.375,1.533,"1-1,0-0",1677536065
340,322479496,2.625,1.444,"1-1,0-15",1677536115
154,55576476,3.000,1.400,"1-1,0-30",1677536151
153,55576482,2.750,1.444,"1-1,15-30",1677536174
152,55576495,2.625,1.500,"1-1,30-30",1677536215
151,55576501,2.750,1.444,"1-1,30-40",1677536244
146,55576532,2.375,1.571,"1-1,40-40",1677536415
145,55576537,2.200,1.666,"1-1,A-40",1677536443
144,55576548,1.909,1.909,"2-1,0-0",1677536484
324,322479579,1.400,2.750,"2-1,15-0",1677536592
143,55576573,-,-,"2-1,30-0",1677536635
142,55576585,1.727,2.100,"3-1,0-0",1677536719
141,55576590,1.800,2.000,"3-1,0-15",1677536747
320,322479596,1.333,3.250,"3-1,0-30",1677536774
319,322479599,1.363,3.000,"3-1,0-40",1677536794
139,55576611,1.800,2.000,"3-2,0-0",1677536874
137,55576630,1.800,2.000,"3-2,15-0",1677536958
135,55576634,1.727,2.100,"3-2,30-0",1677536984
134,55576641,1.666,2.200,"3-2,40-0",1677537014
133,55576648,1.615,2.300,"4-2,0-0",1677537030
132,55576655,1.666,2.200,"4-2,0-15",1677537071
131,55576659,1.615,2.300,"4-2,15-15",1677537107
130,55576670,1.533,2.500,"4-2,30-15",1677537146
129,55576678,1.615,2.300,"4-2,30-30",1677537180
127,55576694,-,-,"4-2,40-30",1677537265
126,55576698,1.400,3.000,"5-2,0-0",1677537280
125,55576718,1.363,3.200,"5-2,15-0",1677537392
124,55576723,1.400,3.000,"5-2,15-15",1677537415
123,55576730,1.444,2.750,"5-2,15-30",1677537451
120,55576745,1.500,2.625,"5-2,15-40",1677537528
119,55576747,1.571,2.375,"5-3,0-0",1677537533
118,55576751,1.533,2.500,"5-3,15-0",1677537556
117,55576755,1.444,2.750,"5-3,30-0",1677537582
116,55576760,1.500,2.625,"5-3,30-15",1677537606
115,55576768,1.444,2.750,"5-3,40-15",1677537642
112,55576828,1.363,3.200,"6-3,0-0,0-0",1677537919
109,55576844,1.333,3.400,"6-3,0-0,15-0",1677537976
108,55576846,1.400,3.000,"6-3,0-0,15-15",1677537980
107,55576860,1.333,3.400,"6-3,0-0,30-15",1677538017
106,55576870,1.400,3.000,"6-3,0-0,30-30",1677538072
105,55576877,1.333,3.400,"6-3,0-0,40-30",1677538097
104,55576884,1.300,3.500,"6-3,1-0,0-0",1677538119
103,55576902,1.250,4.000,"6-3,1-0,15-0",1677538206
101,55576926,-,-,"6-3,1-0,30-0",1677538291
100,55576936,1.200,4.500,"6-3,1-0,30-15",1677538320
99,55576940,1.250,4.000,"6-3,1-0,30-30",1677538344
98,55576944,1.300,3.500,"6-3,1-0,30-40",1677538357
95,55576965,1.250,4.000,"6-3,1-0,40-40",1677538475
93,55576976,1.285,3.750,"6-3,1-0,40-A",1677538531
92,55576984,1.333,3.400,"6-3,1-1,0-0",1677538556
91,55576993,1.285,3.750,"6-3,1-1,15-0",1677538590
90,55577014,1.333,3.400,"6-3,1-1,15-15",1677538666
