,id,home_od,away_od,ss,add_time
168,55259462,1.250,4.000,"0-0,0-0",1676688158
167,55259534,1.285,3.750,"0-0,0-15",1676688567
166,55259541,1.333,3.400,"0-0,0-30",1676688592
165,55259550,1.300,3.500,"0-0,15-30",1676688624
164,55259555,1.250,4.000,"0-0,30-30",1676688644
348,322170845,1.300,3.400,"0-0,40-30",1676688658
163,55259563,1.222,4.333,"1-0,0-0",1676688692
162,55259579,1.200,4.500,"1-0,15-0",1676688771
161,55259585,1.222,4.333,"1-0,15-15",1676688800
344,322170877,1.300,3.400,"1-0,15-30",1676688845
160,55259599,1.250,4.000,"1-0,15-40",1676688897
159,55259609,1.285,3.750,"1-1,0-0",1676688956
158,55259614,1.300,3.500,"1-1,0-15",1676688968
157,55259617,1.363,3.200,"1-1,0-30",1676688987
154,55259630,1.333,3.400,"1-1,15-30",1676689051
153,55259632,1.444,2.750,"1-1,15-40",1676689055
152,55259643,1.363,3.200,"1-1,30-40",1676689103
148,55259679,1.571,2.375,"1-2,0-0",1676689302
147,55259681,1.615,2.300,"1-2,0-15",1676689308
146,55259685,1.533,2.500,"1-2,15-15",1676689317
145,55259694,1.444,2.750,"1-2,30-15",1676689356
144,55259701,1.533,2.500,"1-2,30-30",1676689389
143,55259708,1.615,2.300,"1-2,30-40",1676689419
325,322170989,3.000,1.363,"1-3,15-0",1676689492
142,55259718,1.666,2.200,"1-3,15-15",1676689507
140,55259726,1.800,2.000,"1-3,15-30",1676689547
139,55259728,1.909,1.909,"1-3,15-40",1676689555
138,55259730,1.800,2.000,"1-3,30-40",1676689570
137,55259739,1.727,2.100,"1-3,40-40",1676689599
318,322171007,3.250,1.333,"1-3,A-40",1676689626
136,55259752,1.666,2.200,"2-3,0-0",1676689664
134,55259783,1.533,2.500,"2-3,15-0",1676689820
133,55259786,1.444,2.750,"2-3,30-0",1676689831
131,55259801,1.500,2.625,"2-3,30-15",1676689900
130,55259804,1.400,3.000,"2-3,40-15",1676689913
129,55259815,1.300,3.500,"3-3,0-0",1676689963
128,55259822,1.285,3.750,"3-3,15-0",1676690005
127,55259827,1.250,4.000,"3-3,30-0",1676690029
