,id,home_od,away_od,ss,add_time
688,93763561,1.444,2.625,"0-0,0-0",1727755731
685,93763612,1.500,2.500,"0-0,0-15",1727755766
678,93763693,1.571,2.250,"0-0,0-30",1727755817
675,93763713,1.533,2.375,"0-0,15-40",1727755826
673,93763730,1.615,2.200,"0-0,0-40",1727755837
672,93763743,1.571,2.250,"0-1,0-0",1727755846
670,93763846,1.500,2.500,"0-1,30-0",1727755941
666,93763920,1.533,2.375,"0-1,15-0",1727755991
664,93763929,1.444,2.625,"0-1,40-0",1727755999
658,93764074,1.500,2.500,"0-1,40-15",1727756085
656,93764092,1.571,2.250,"0-1,40-30",1727756092
650,93764179,1.533,2.375,"1-1,0-0",1727756141
648,93764195,1.571,2.250,"1-1,0-15",1727756149
641,93764235,1.615,2.200,"1-1,0-30",1727756185
640,93764237,1.533,2.375,"1-1,15-30",1727756186
639,93764246,1.615,2.200,"1-1,15-40",1727756195
632,93764368,1.533,2.375,"1-1,30-40",1727756281
626,93764557,1.533,2.375,"1-2,15-0",1727756400
624,93764570,1.571,2.250,"1-2,0-0",1727756408
623,93764572,1.500,2.500,"1-2,30-0",1727756409
618,93764629,1.571,2.250,"1-2,30-15",1727756467
617,93764630,1.666,2.100,"1-2,30-30",1727756471
616,93764631,1.571,2.250,"1-2,40-30",1727756474
615,93764651,1.533,2.375,"2-2,0-0",1727756517
612,93764691,1.571,2.250,"2-2,0-15",1727756589
611,93764693,1.615,2.200,"2-2,0-30",1727756590
602,93764797,1.666,2.100,"2-2,0-40",1727756668
587,93765030,1.571,2.250,"2-3,30-0",1727756782
586,93765036,1.700,2.050,"2-3,0-0",1727756784
582,93765053,1.615,2.200,"2-3,15-0",1727756795
577,93765117,1.571,2.250,"2-3,40-0",1727756858
576,93765118,1.615,2.200,"2-3,40-15",1727756859
575,93765128,1.700,2.050,"2-3,40-30",1727756867
559,93765279,1.909,1.909,"2-3,40-40",1727757020
558,93765282,1.750,2.000,"2-3,A-40",1727757023
554,93765374,1.700,2.050,"3-3,0-0",1727757122
552,93765394,1.571,2.250,"3-3,15-0",1727757137
549,93765418,1.615,2.200,"3-3,15-15",1727757161
548,93765420,1.800,1.950,"3-3,15-40",1727757162
547,93765444,1.700,2.050,"3-3,15-30",1727757186
541,93765573,1.800,1.950,"3-4,0-0",1727757295
538,93765591,1.750,2.000,"3-4,15-0",1727757310
534,93765653,1.800,1.950,"3-4,30-15",1727757368
533,93765658,1.700,2.050,"3-4,30-0",1727757369
526,93765723,1.666,2.100,"4-4,0-0",1727757411
524,93765750,1.700,2.050,"3-4,40-15",1727757428
519,93765797,1.750,2.000,"4-4,0-15",1727757460
518,93765799,1.800,1.950,"4-4,0-30",1727757461
517,93765871,1.700,2.050,"4-4,15-30",1727757523
516,93765880,1.800,1.950,"4-4,15-40",1727757530
509,93766066,1.909,1.909,"4-5,0-0",1727757692
499,93766114,2.000,1.750,"4-5,0-15",1727757730
496,93766121,1.909,1.909,"4-5,15-15",1727757743
493,93766153,2.100,1.666,"4-5,15-30",1727757778
490,93766167,1.950,1.800,"4-5,30-30",1727757827
489,93766169,1.800,1.950,"4-5,40-30",1727757828
475,93766736,1.700,2.050,"5-5,0-0",1727758418
474,93767033,1.909,1.909,"5-5,0-40",1727758664
472,93767048,1.800,1.950,"5-5,0-15",1727758680
471,93767051,1.950,1.800,"5-6,0-0",1727758683
467,93767109,2.100,1.666,"5-6,0-15",1727758781
459,93767163,1.950,1.800,"5-6,15-15",1727758823
453,93767218,2.200,1.615,"5-6,15-30",1727758872
452,93767220,2.375,1.533,"5-6,30-40",1727758873
449,93767256,2.625,1.444,"5-6,15-40",1727758901
448,93767258,3.500,1.285,"5-7,0-0,0-0",1727758904
445,93767424,3.750,1.250,"5-7,0-0,0-15",1727759044
442,93767445,3.400,1.300,"5-7,0-0,15-15",1727759070
441,93767461,3.500,1.285,"5-7,0-0,15-30",1727759090
428,93767634,3.750,1.250,"5-7,0-0,15-40",1727759174
423,93767659,4.000,1.222,"5-7,0-1,0-0",1727759188
422,93767665,4.500,1.181,"5-7,0-1,0-15",1727759192
411,93770006,4.000,1.222,"5-7,0-1,15-15",1727761515
410,93770010,3.750,1.250,"5-7,0-1,30-15",1727761518
409,93770056,3.500,1.285,"5-7,0-1,40-15",1727761546
404,93770091,3.400,1.300,"5-7,1-1,0-0",1727761607
401,93770127,2.750,1.400,"5-7,1-1,15-0",1727761648
398,93770169,2.500,1.500,"5-7,1-1,30-0",1727761680
390,93770270,2.625,1.444,"5-7,1-1,30-15",1727761745
383,93770307,2.250,1.571,"5-7,1-1,40-15",1727761778
372,93770389,3.000,1.363,"5-7,1-1,40-40",1727761830
370,93770411,2.500,1.500,"5-7,1-1,40-30",1727761843
365,93770491,3.400,1.300,"5-7,1-1,40-A",1727761885
355,93770657,3.500,1.285,"5-7,1-2,0-0",1727761979
352,93770680,3.750,1.250,"5-7,1-2,15-15",1727761991
349,93770716,3.250,1.333,"5-7,1-2,15-0",1727762017
348,93770724,3.400,1.300,"5-7,1-2,30-15",1727762020
345,93770813,3.250,1.333,"5-7,1-2,40-15",1727762095
344,93770817,3.000,1.363,"5-7,2-2,0-0",1727762097
343,93770841,2.625,1.444,"5-7,2-2,15-0",1727762124
342,93770871,3.000,1.363,"5-7,2-2,15-15",1727762155
339,93770892,3.250,1.333,"5-7,2-2,15-30",1727762225
329,93770979,2.625,1.444,"5-7,2-2,30-30",1727762297
323,93771037,2.250,1.571,"5-7,2-2,40-30",1727762340
320,93771178,1.800,1.950,"5-7,3-2,0-0",1727762461
317,93771208,1.750,2.000,"5-7,3-2,15-0",1727762488
315,93771230,1.700,2.050,"5-7,3-2,30-0",1727762510
307,93771306,1.666,2.100,"5-7,3-2,40-0",1727762560
304,93771320,1.700,2.050,"5-7,4-2,0-0",1727762567
300,93771340,1.750,2.000,"5-7,3-2,40-15",1727762588
299,93771345,1.666,2.100,"5-7,4-2,15-0",1727762592
298,93771350,1.571,2.250,"5-7,4-2,30-0",1727762597
297,93771357,1.615,2.200,"5-7,4-2,30-15",1727762622
292,93771455,1.666,2.100,"5-7,4-2,30-30",1727762769
282,93771566,1.571,2.250,"5-7,4-2,40-30",1727762826
276,93771647,1.666,2.100,"5-7,4-2,40-40",1727762860
268,93771717,1.533,2.375,"5-7,4-2,A-40",1727762899
263,93771803,1.444,2.625,"5-7,5-2,0-0",1727762992
253,93771884,-,-,"5-7,5-2,15-0",1727763077
246,93771937,1.400,2.750,"5-7,5-2,30-0",1727763115
241,93771984,1.400,2.750,"5-7,5-2,40-0",1727763146
236,93772003,1.533,2.375,"5-7,6-2,0-0,0-0",1727763203
231,93772059,1.615,2.200,"5-7,6-2,0-0,0-15",1727763294
213,93772157,1.444,2.625,"5-7,6-2,0-0,15-15",1727763382
211,93772164,1.571,2.250,"5-7,6-2,0-0,15-30",1727763390
208,93772197,1.666,2.100,"5-7,6-2,0-0,15-40",1727763415
204,93772240,1.750,2.000,"5-7,6-2,0-1,0-0",1727763469
197,93772291,-,-,"5-7,6-2,0-1,15-0",1727763557
194,93772325,1.571,2.250,"5-7,6-2,0-1,30-0",1727763573
192,93772365,1.666,2.100,"5-7,6-2,0-1,30-15",1727763593
189,93772403,1.800,1.950,"5-7,6-2,0-1,30-30",1727763636
187,93772410,1.666,2.100,"5-7,6-2,0-1,40-30",1727763645
