,id,home_od,away_od,ss,add_time
146,44686305,1.666,2.100,"0-0,0-0",1650717503
145,44686409,1.615,2.200,"0-0,30-15",1650717785
144,44686424,1.571,2.250,"0-0,40-15",1650717831
143,44686448,1.615,2.200,"0-0,40-30",1650717885
140,44686497,1.750,2.000,"0-0,40-40",1650717998
138,44686526,-,-,"0-0,A-40",1650718075
137,44686534,1.571,2.250,"1-0,0-0",1650718098
136,44686564,1.666,2.100,"1-0,0-15",1650718182
135,44686590,1.700,2.050,"1-0,0-30",1650718235
134,44686592,1.750,2.000,"1-0,0-40",1650718246
133,44686603,1.800,1.950,"1-1,0-0",1650718276
132,44686623,1.750,2.000,"1-1,15-0",1650718347
131,44686634,1.800,1.950,"1-1,15-15",1650718371
129,44686664,2.050,1.700,"1-1,15-30",1650718438
128,44686675,1.909,1.909,"1-1,30-30",1650718456
127,44686685,2.050,1.700,"1-1,30-40",1650718489
126,44686696,1.950,1.800,"1-1,40-40",1650718512
125,44686715,1.750,2.000,"1-1,A-40",1650718580
124,44686725,1.700,2.050,"2-1,0-0",1650718600
123,44686770,1.800,1.950,"2-1,0-15",1650718726
122,44686780,1.909,1.909,"2-1,0-30",1650718748
121,44686799,1.950,1.800,"2-1,0-40",1650718803
120,44686804,2.000,1.750,"2-2,0-0",1650718818
119,44686821,1.950,1.800,"2-2,15-0",1650718882
118,44686831,2.000,1.750,"2-2,15-15",1650718910
117,44686857,2.200,1.615,"2-2,15-30",1650718966
114,44686871,2.500,1.500,"2-2,15-40",1650719007
113,44686877,2.250,1.571,"2-2,30-40",1650719022
112,44686888,2.050,1.700,"2-2,40-40",1650719055
111,44686901,1.950,1.800,"2-2,A-40",1650719100
110,44686909,1.909,1.909,"3-2,0-0",1650719124
109,44686953,1.950,1.800,"3-2,0-15",1650719223
108,44686977,2.000,1.750,"3-2,0-30",1650719260
107,44686987,1.950,1.800,"3-2,15-30",1650719283
106,44687017,2.000,1.750,"3-2,15-40",1650719352
105,44687044,1.950,1.800,"3-2,30-40",1650719405
104,44687056,2.000,1.750,"3-3,0-0",1650719442
103,44687081,2.050,1.700,"3-3,15-15",1650719515
102,44687108,1.950,1.800,"3-3,30-15",1650719583
