,id,home_od,away_od,ss,add_time
509,356373738,1.666,2.100,"0-0,0-0",1724183217
235,90151529,1.666,2.200,"0-0,15-0",1724183675
234,90151538,1.615,2.300,"0-0,30-0",1724183683
231,90151672,1.666,2.200,"0-0,30-15",1724183780
228,90151783,1.615,2.300,"0-0,40-15",1724183845
225,90151881,1.666,2.200,"0-0,40-30",1724183898
224,90151914,1.615,2.300,"1-0,0-0",1724183911
223,90151979,1.666,2.200,"1-0,0-15",1724183956
222,90152050,1.615,2.300,"1-0,15-15",1724184004
220,90152166,1.727,2.100,"1-0,15-40",1724184064
219,90152201,1.666,2.200,"1-0,15-30",1724184080
483,356375102,1.666,2.100,"1-0,30-40",1724184140
482,356375112,1.750,2.000,"1-1,0-0",1724184144
214,90152470,1.800,2.000,"1-1,0-15",1724184249
213,90152501,1.727,2.100,"1-1,15-15",1724184281
210,90152553,1.800,2.000,"1-1,15-30",1724184313
208,90152595,2.100,1.727,"1-1,15-40",1724184338
203,90152713,1.909,1.909,"1-1,30-40",1724184409
199,90152788,1.727,2.100,"1-1,A-40",1724184483
198,90152808,1.800,2.000,"1-1,40-40",1724184499
195,90153020,1.666,2.200,"2-1,0-0",1724184623
193,90153041,1.666,2.200,"2-1,0-15",1724184639
192,90153065,1.615,2.300,"2-1,15-15",1724184671
191,90153070,1.666,2.200,"2-1,15-30",1724184674
190,90153116,1.727,2.100,"2-1,15-40",1724184728
189,90153127,1.800,2.000,"2-2,0-0",1724184735
188,90153145,1.727,2.100,"2-2,15-0",1724184760
187,90153222,1.666,2.200,"2-2,30-0",1724184820
186,90153256,1.615,2.300,"2-2,40-0",1724184840
185,90153462,1.666,2.200,"3-2,0-15",1724184990
184,90153492,1.727,2.100,"3-2,0-30",1724185010
183,90153510,1.615,2.300,"3-2,0-0",1724185026
182,90153520,1.727,2.100,"3-2,0-40",1724185031
441,356376380,1.750,2.000,"3-2,15-40",1724185074
440,356376526,1.800,1.950,"3-3,0-0",1724185177
181,90153706,1.666,2.200,"3-3,15-0",1724185184
180,90153743,1.800,2.000,"3-3,15-15",1724185205
178,90153835,2.000,1.800,"3-3,15-30",1724185290
171,90153948,2.200,1.666,"3-3,15-40",1724185371
169,90153972,1.800,2.000,"3-3,40-40",1724185384
168,90153991,2.000,1.800,"3-3,30-40",1724185397
165,90154084,1.727,2.100,"3-3,A-40",1724185451
161,90154284,1.666,2.200,"4-3,0-0",1724185581
159,90154308,1.727,2.100,"4-3,0-15",1724185603
154,90154349,1.800,2.000,"4-3,0-30",1724185635
152,90154370,1.800,2.000,"4-3,15-40",1724185648
151,90154378,1.727,2.100,"4-3,15-30",1724185661
150,90154381,1.800,2.000,"4-4,0-0",1724185662
149,90154482,1.909,1.909,"4-4,0-15",1724185730
148,90154519,1.727,2.100,"4-4,30-15",1724185749
147,90154582,1.800,2.000,"4-4,15-15",1724185788
146,90154592,1.666,2.200,"4-4,40-15",1724185796
144,90154874,1.666,2.200,"5-4,0-0",1724185992
142,90154916,1.571,2.375,"5-4,15-0",1724186021
137,90155024,1.615,2.300,"5-4,15-15",1724186080
136,90155032,1.500,2.625,"5-4,30-15",1724186083
131,90155174,1.363,3.200,"5-4,40-15",1724186164
126,90155413,1.222,4.333,"6-4,0-0,0-0",1724186325
125,90155427,1.200,4.500,"6-4,0-0,15-0",1724186333
379,356378298,1.533,2.375,"6-4,0-0,30-0",1724186344
124,90155513,1.222,4.333,"6-4,0-0,30-15",1724186379
123,90155545,1.200,4.500,"6-4,0-0,40-15",1724186404
122,90155585,1.222,4.333,"6-4,0-0,40-30",1724186449
121,90155620,1.250,4.000,"6-4,0-0,40-40",1724186491
118,90155827,1.222,4.333,"6-4,0-0,A-40",1724186594
117,90155850,1.200,4.500,"6-4,1-0,0-0",1724186607
116,90155869,1.166,5.000,"6-4,1-0,15-0",1724186619
115,90155905,1.200,4.500,"6-4,1-0,15-15",1724186642
114,90155932,1.142,5.500,"6-4,1-0,30-15",1724186658
106,90156201,1.100,7.000,"6-4,1-0,40-15",1724186783
101,90156311,1.111,6.500,"6-4,1-0,40-30",1724186819
100,90156320,1.062,10.000,"6-4,2-0,0-0",1724186827
99,90156336,1.083,8.000,"6-4,2-0,0-15",1724186835
98,90156378,1.071,9.000,"6-4,2-0,15-15",1724186886
97,90156411,1.050,11.000,"6-4,2-0,30-15",1724186919
89,90156524,1.050,11.000,"6-4,2-0,40-15",1724187009
82,90156665,1.062,10.000,"6-4,2-0,40-30",1724187055
79,90156882,1.050,11.000,"6-4,3-0,0-0",1724187167
78,90156885,1.040,13.000,"6-4,3-0,15-15",1724187168
77,90156927,1.050,11.000,"6-4,3-0,0-15",1724187197
69,90157110,1.030,15.000,"6-4,3-0,30-15",1724187270
67,90157128,1.040,13.000,"6-4,3-0,30-30",1724187279
66,90157132,1.050,11.000,"6-4,3-0,30-40",1724187280
65,90157279,1.062,10.000,"6-4,3-1,0-0",1724187337
63,90157312,1.083,8.000,"6-4,3-1,0-15",1724187373
62,90157333,1.062,10.000,"6-4,3-1,15-15",1724187399
54,90157552,1.050,11.000,"6-4,3-1,30-15",1724187529
50,90157605,1.062,10.000,"6-4,3-1,30-30",1724187550
49,90157609,1.111,6.500,"6-4,3-1,30-40",1724187551
47,90157708,1.111,6.500,"6-4,3-1,40-A",1724187590
45,90157774,1.083,8.000,"6-4,3-1,40-40",1724187658
40,90157887,1.050,11.000,"6-4,3-1,A-40",1724187734
37,90158224,1.040,13.000,"6-4,4-1,0-0",1724187852
36,90158230,1.030,15.000,"6-4,4-1,15-0",1724187854
35,90158260,1.020,19.000,"6-4,4-1,30-0",1724187869
33,90158303,1.006,29.000,"6-4,4-1,40-0",1724187921
29,90158401,1.004,41.000,"6-4,5-1,0-0",1724188001
24,90158552,1.005,34.000,"6-4,5-1,0-15",1724188059
23,90158556,1.004,41.000,"6-4,5-1,15-15",1724188060
22,90158620,1.006,29.000,"6-4,5-1,15-30",1724188097
21,90158676,1.012,23.000,"6-4,5-1,15-40",1724188151
18,90158782,1.010,26.000,"6-4,5-1,30-40",1724188229
4,90159101,1.004,41.000,"6-4,5-1,40-40",1724188328
0,90159297,-,-,"6-4,5-1,A-40",1724188437
