,id,home_od,away_od,ss,add_time
105,42476388,1.615,2.300,"0-0,0-0",1644948739
103,42476402,1.533,2.500,"0-0,15-0",1644948757
102,42476426,1.444,2.750,"0-0,30-0",1644948800
101,42476442,1.400,3.000,"0-0,40-0",1644948824
99,42476473,1.400,3.000,"0-0,40-15",1644948866
98,42476486,1.333,3.400,"1-0,0-0",1644948893
227,308966122,1.166,5.000,"1-0,15-0",1644948968
97,42476543,1.285,3.750,"1-0,30-0",1644948974
96,42476565,1.333,3.400,"1-0,30-15",1644949006
95,42476583,1.300,3.500,"1-0,40-15",1644949040
94,42476607,1.333,3.400,"1-0,40-30",1644949078
92,42476678,1.500,2.625,"1-0,40-A",1644949182
91,42476700,1.400,3.000,"1-0,40-40",1644949212
90,42476726,1.363,3.200,"1-0,A-40",1644949244
89,42476736,1.333,3.400,"2-0,0-0",1644949252
88,42476772,1.363,3.200,"2-0,0-15",1644949298
87,42476790,1.333,3.400,"2-0,15-15",1644949323
86,42476807,1.285,3.750,"2-0,30-15",1644949352
85,42476838,1.300,3.500,"2-0,30-30",1644949401
84,42476868,1.333,3.400,"2-0,30-40",1644949427
83,42476903,1.363,3.200,"2-1,0-0",1644949471
82,42477024,1.400,3.000,"2-1,0-15",1644949627
81,42477050,1.363,3.200,"2-1,15-15",1644949666
78,42477081,1.333,3.400,"2-1,30-15",1644949720
77,42477086,1.400,3.000,"2-1,30-30",1644949725
76,42477103,1.333,3.400,"2-1,40-30",1644949749
75,42477126,1.300,3.500,"3-1,0-0",1644949779
73,42477163,-,-,"3-1,15-0",1644949837
72,42477173,1.250,4.000,"3-1,30-0",1644949851
71,42477192,1.200,4.500,"3-1,40-0",1644949876
70,42477225,1.166,5.000,"4-1,0-0",1644949928
189,308967012,1.010,26.000,"4-1,15-0",1644950086
69,42477335,1.142,5.500,"4-1,30-0",1644950111
187,308967042,1.004,41.000,"4-1,40-0",1644950130
68,42477397,-,-,"5-1,0-0",1644950218
67,42477409,1.100,7.000,"5-1,0-15",1644950232
65,42477417,1.111,6.500,"5-1,0-30",1644950254
62,42477425,1.142,5.500,"5-1,0-40",1644950269
181,308967238,1.005,34.000,"5-2,0-0",1644950411
61,42477531,1.166,5.000,"5-2,0-15",1644950426
177,308967291,-,-,"5-2,15-15",1644950485
60,42477569,1.142,5.500,"5-2,30-15",1644950489
173,308967362,-,-,"5-2,40-15",1644950568
59,42477633,1.125,6.000,"6-2,0-0,0-0",1644950578
58,42477735,1.142,5.500,"6-2,0-0,0-15",1644950725
57,42477756,1.166,5.000,"6-2,0-0,0-30",1644950755
169,308967524,1.615,2.200,"6-2,0-0,0-40",1644950790
56,42477803,1.200,4.500,"6-2,0-1,0-0",1644950812
55,42477849,1.166,5.000,"6-2,0-1,15-0",1644950872
167,308967629,1.533,2.375,"6-2,0-1,30-0",1644950914
166,308967640,1.571,2.250,"6-2,0-1,30-15",1644950934
54,42477898,1.200,4.500,"6-2,0-1,30-30",1644950964
53,42477917,1.166,5.000,"6-2,0-1,40-30",1644950993
163,308967702,1.533,2.375,"6-2,1-1,0-0",1644951025
52,42477965,1.125,6.000,"6-2,1-1,15-0",1644951062
50,42478016,1.083,8.000,"6-2,1-1,30-0",1644951122
46,42478047,1.111,6.500,"6-2,1-1,30-15",1644951167
45,42478055,1.142,5.500,"6-2,1-1,30-30",1644951192
43,42478108,-,-,"6-2,1-1,40-30",1644951294
42,42478114,1.142,5.500,"6-2,1-1,40-40",1644951309
40,42478151,-,-,"6-2,1-1,A-40",1644951374
39,42478160,1.050,11.000,"6-2,2-1,0-0",1644951387
37,42478254,1.071,9.000,"6-2,2-1,0-15",1644951561
36,42478284,1.100,7.000,"6-2,2-1,0-30",1644951595
35,42478291,1.071,9.000,"6-2,2-1,15-30",1644951612
34,42478310,1.050,11.000,"6-2,2-1,30-30",1644951639
33,42478321,1.040,13.000,"6-2,2-1,40-30",1644951670
32,42478346,1.030,15.000,"6-2,3-1,0-0",1644951706
31,42478360,1.040,13.000,"6-2,3-1,0-15",1644951745
30,42478389,1.030,15.000,"6-2,3-1,15-15",1644951777
29,42478406,1.020,19.000,"6-2,3-1,30-15",1644951799
28,42478419,1.030,15.000,"6-2,3-1,30-30",1644951815
26,42478442,1.030,15.000,"6-2,3-1,30-40",1644951857
25,42478450,1.025,17.000,"6-2,3-1,40-40",1644951869
24,42478461,1.030,15.000,"6-2,3-1,40-A",1644951891
23,42478485,1.040,13.000,"6-2,3-2,0-0",1644951945
22,42478547,1.030,15.000,"6-2,3-2,15-0",1644952073
