,id,home_od,away_od,ss,add_time
281,320851623,1.909,1.909,"0-0,0-0",1672820568
175,53904912,1.800,2.000,"0-0,15-0",1672821538
174,53904941,1.727,2.100,"0-0,30-0",1672821579
278,320852110,1.615,2.200,"0-0,40-0",1672821612
173,53904965,1.800,2.000,"0-0,40-15",1672821620
276,320852123,1.750,2.000,"0-0,40-30",1672821642
172,53905010,1.727,2.100,"1-0,0-0",1672821704
171,53905049,1.666,2.200,"1-0,15-0",1672821763
170,53905073,1.727,2.100,"1-0,15-15",1672821807
169,53905090,1.800,2.000,"1-0,15-30",1672821842
168,53905123,1.909,1.909,"1-0,15-40",1672821916
270,320852284,1.909,1.909,"1-1,0-0",1672821948
166,53905175,1.909,1.909,"1-1,15-0",1672822022
165,53905183,1.800,2.000,"1-1,30-0",1672822031
164,53905200,1.909,1.909,"1-1,30-15",1672822071
163,53905213,1.800,2.000,"1-1,40-15",1672822109
162,53905226,1.727,2.100,"2-1,0-0",1672822138
161,53905296,1.666,2.200,"2-1,15-0",1672822308
160,53905311,1.571,2.375,"2-1,30-0",1672822339
159,53905348,1.615,2.300,"2-1,30-15",1672822408
158,53905370,1.533,2.500,"2-1,40-15",1672822446
156,53905401,1.571,2.375,"2-1,40-30",1672822507
155,53905414,1.500,2.625,"3-1,0-0",1672822529
154,53905436,1.444,2.750,"3-1,15-0",1672822572
153,53905455,1.400,3.000,"3-1,30-0",1672822610
152,53905481,1.444,2.750,"3-1,30-15",1672822655
151,53905493,1.400,3.000,"3-1,40-15",1672822683
148,53905535,1.333,3.400,"3-1,40-30",1672822753
147,53905550,1.400,3.000,"3-1,40-40",1672822783
146,53905563,1.363,3.200,"3-1,A-40",1672822811
145,53905572,1.333,3.400,"4-1,0-0",1672822848
246,320852839,1.111,6.500,"4-1,0-15",1672822992
144,53905662,1.363,3.200,"4-1,0-30",1672823017
244,320852874,1.142,5.500,"4-1,0-40",1672823047
143,53905728,1.444,2.750,"4-2,0-15",1672823169
142,53905746,1.400,3.000,"4-2,15-15",1672823206
141,53905757,1.333,3.400,"4-2,30-15",1672823226
140,53905773,1.300,3.500,"4-2,40-15",1672823254
139,53905796,1.285,3.750,"5-2,0-0",1672823293
138,53905853,1.300,3.500,"5-2,0-15",1672823410
137,53905875,1.285,3.750,"5-2,15-15",1672823452
136,53905899,1.300,3.500,"5-2,15-30",1672823488
135,53905922,1.333,3.400,"5-2,15-40",1672823536
134,53905961,1.300,3.500,"5-3,15-0",1672823602
133,53905973,1.285,3.750,"5-3,30-0",1672823615
132,53905991,1.250,4.000,"5-3,40-0",1672823639
131,53906009,1.222,4.333,"6-3,0-0,0-0",1672823663
130,53906130,1.250,4.000,"6-3,0-0,0-15",1672823866
129,53906140,1.222,4.333,"6-3,0-0,15-15",1672823890
128,53906166,1.250,4.000,"6-3,0-0,15-30",1672823934
126,53906215,1.200,4.500,"6-3,0-0,30-30",1672824014
125,53906225,1.250,4.000,"6-3,0-0,30-40",1672824026
124,53906251,1.285,3.750,"6-3,0-1,0-0",1672824063
123,53906294,1.250,4.000,"6-3,0-1,15-0",1672824145
122,53906333,1.300,3.500,"6-3,0-1,15-15",1672824207
120,53906373,1.285,3.750,"6-3,0-1,30-15",1672824270
119,53906386,1.300,3.500,"6-3,0-1,30-30",1672824295
117,53906427,1.400,3.000,"6-3,0-1,30-40",1672824359
116,53906439,1.500,2.625,"6-3,0-2,0-0",1672824378
115,53906499,1.444,2.750,"6-3,0-2,15-0",1672824468
114,53906509,1.500,2.625,"6-3,0-2,15-15",1672824483
113,53906531,1.444,2.750,"6-3,0-2,30-15",1672824522
111,53906579,1.444,2.750,"6-3,0-2,30-30",1672824600
110,53906595,1.400,3.000,"6-3,0-2,40-30",1672824621
105,53906711,1.533,2.500,"6-3,0-2,40-40",1672824789
104,53906715,1.615,2.300,"6-3,0-2,40-A",1672824795
103,53906748,1.666,2.200,"6-3,0-3,0-0",1672824843
102,53906845,1.727,2.100,"6-3,0-3,0-15",1672824993
101,53906864,1.666,2.200,"6-3,0-3,15-15",1672825032
100,53906889,1.727,2.100,"6-3,0-3,15-30",1672825075
99,53906911,1.666,2.200,"6-3,0-3,30-30",1672825111
98,53906916,1.615,2.300,"6-3,0-3,40-30",1672825116
194,320854105,3.750,1.250,"6-3,1-3,0-0",1672825167
96,53907008,1.615,2.300,"6-3,1-3,0-15",1672825238
95,53907023,1.727,2.100,"6-3,1-3,0-30",1672825262
191,320854200,5.500,1.142,"6-3,1-3,0-40",1672825321
94,53907107,1.800,2.000,"6-3,1-4,0-0",1672825386
189,320854332,7.000,1.100,"6-3,1-4,0-15",1672825544
93,53907222,1.909,1.909,"6-3,1-4,0-30",1672825595
92,53907245,2.000,1.800,"6-3,1-4,0-40",1672825628
186,320854413,11.000,1.050,"6-3,1-4,15-40",1672825688
91,53907276,1.909,1.909,"6-3,1-4,30-40",1672825697
89,53907320,2.000,1.800,"6-3,1-5,0-0",1672825778
183,320854476,15.000,1.030,"6-3,1-5,15-0",1672825794
182,320854504,19.000,1.020,"6-3,1-5,15-15",1672825835
86,53907396,2.100,1.727,"6-3,1-5,15-30",1672825916
85,53907403,2.000,1.800,"6-3,1-5,30-30",1672825925
84,53907421,2.100,1.727,"6-3,1-5,30-40",1672825956
83,53907563,1.909,1.909,"6-3,1-6,0-0,15-0",1672826197
80,53907609,2.100,1.727,"6-3,1-6,0-0,15-15",1672826268
79,53907617,1.909,1.909,"6-3,1-6,0-0,30-15",1672826276
78,53907624,1.800,2.000,"6-3,1-6,0-0,40-15",1672826289
77,53907632,1.909,1.909,"6-3,1-6,0-0,40-30",1672826304
76,53907656,1.800,2.000,"6-3,1-6,1-0,0-0",1672826346
75,53907723,1.909,1.909,"6-3,1-6,1-0,0-15",1672826457
74,53907731,1.727,2.100,"6-3,1-6,1-0,15-15",1672826478
73,53907766,1.909,1.909,"6-3,1-6,1-0,15-30",1672826534
72,53907769,1.666,2.200,"6-3,1-6,1-0,30-30",1672826543
71,53907798,1.909,1.909,"6-3,1-6,1-0,30-40",1672826588
70,53907817,2.000,1.800,"6-3,1-6,1-1,0-0",1672826623
69,53907836,1.909,1.909,"6-3,1-6,1-1,15-0",1672826661
68,53907881,1.727,2.100,"6-3,1-6,1-1,30-0",1672826761
67,53907884,1.666,2.200,"6-3,1-6,1-1,40-0",1672826766
66,53907897,1.727,2.100,"6-3,1-6,1-1,40-15",1672826798
65,53907931,1.666,2.200,"6-3,1-6,2-1,0-0",1672826852
64,53908018,1.800,2.000,"6-3,1-6,2-1,0-15",1672827017
63,53908047,1.909,1.909,"6-3,1-6,2-1,0-30",1672827056
62,53908072,1.800,2.000,"6-3,1-6,2-1,15-30",1672827100
61,53908097,1.909,1.909,"6-3,1-6,2-1,15-40",1672827153
60,53908111,2.000,1.800,"6-3,1-6,2-2,0-0",1672827190
59,53908131,1.800,2.000,"6-3,1-6,2-2,15-0",1672827229
56,53908183,2.000,1.800,"6-3,1-6,2-2,15-15",1672827306
55,53908190,1.800,2.000,"6-3,1-6,2-2,30-15",1672827317
54,53908194,2.000,1.800,"6-3,1-6,2-2,30-30",1672827328
53,53908215,2.500,1.533,"6-3,1-6,2-2,30-40",1672827356
50,53908268,2.000,1.800,"6-3,1-6,2-2,40-40",1672827464
48,53908287,2.625,1.500,"6-3,1-6,2-2,40-A",1672827503
47,53908303,3.750,1.285,"6-3,1-6,2-3,0-0",1672827528
46,53908380,3.000,1.400,"6-3,1-6,2-3,15-0",1672827679
45,53908405,2.500,1.533,"6-3,1-6,2-3,30-0",1672827714
44,53908422,2.750,1.444,"6-3,1-6,2-3,30-15",1672827742
43,53908440,2.300,1.615,"6-3,1-6,2-3,40-15",1672827775
41,53908484,2.375,1.571,"6-3,1-6,2-3,40-30",1672827854
36,53908626,2.375,1.571,"6-3,1-6,2-3,A-40",1672828050
32,53908712,3.400,1.333,"6-3,1-6,2-3,40-40",1672828182
31,53908744,4.333,1.222,"6-3,1-6,2-3,40-A",1672828239
30,53908773,5.000,1.166,"6-3,1-6,2-4,0-0",1672828281
29,53908805,4.500,1.200,"6-3,1-6,2-4,15-0",1672828341
28,53908840,5.000,1.166,"6-3,1-6,2-4,15-15",1672828407
27,53908848,4.500,1.200,"6-3,1-6,2-4,30-15",1672828418
25,53908881,-,-,"6-3,1-6,2-4,30-30",1672828484
24,53908901,7.000,1.100,"6-3,1-6,2-4,30-40",1672828525
19,53908985,8.000,1.083,"6-3,1-6,2-4,40-A",1672828701
15,53909044,5.500,1.142,"6-3,1-6,2-4,40-40",1672828818
14,53909058,5.000,1.166,"6-3,1-6,2-4,A-40",1672828860
10,53909091,-,-,"6-3,1-6,3-4,0-0",1672828934
9,53909163,3.500,1.300,"6-3,1-6,3-4,15-0",1672829112
8,53909171,4.333,1.222,"6-3,1-6,3-4,15-15",1672829131
7,53909186,5.500,1.142,"6-3,1-6,3-4,15-30",1672829174
6,53909206,6.500,1.111,"6-3,1-6,3-4,15-40",1672829221
5,53909222,8.000,1.083,"6-3,1-6,3-5,0-0",1672829272
4,53909245,10.000,1.062,"6-3,1-6,3-5,0-15",1672829320
2,53909276,15.000,1.030,"6-3,1-6,3-5,0-30",1672829403
0,53909292,-,-,"6-3,1-6,3-5,0-40",1672829434
