,id,home_od,away_od,ss,add_time
410,302654752,2.375,1.533,"0-0,0-0",1627154706
183,36529892,2.500,1.533,"0-0,15-0",1627155677
182,36529899,2.750,1.444,"0-0,15-15",1627155706
181,36529906,3.200,1.363,"0-0,15-30",1627155732
180,36529913,3.000,1.400,"0-0,30-30",1627155761
179,36529925,3.400,1.333,"0-0,30-40",1627155797
178,36529941,4.000,1.250,"0-1,0-0",1627155853
177,36529960,3.500,1.300,"0-1,15-0",1627155928
176,36529970,3.750,1.285,"0-1,15-15",1627155966
175,36529981,3.400,1.333,"0-1,30-15",1627156009
174,36529994,3.750,1.285,"0-1,30-30",1627156040
173,36530003,4.000,1.250,"0-1,30-40",1627156070
172,36530013,4.500,1.200,"0-2,0-0",1627156122
171,36530021,5.000,1.166,"0-2,0-15",1627156163
170,36530026,4.500,1.200,"0-2,15-15",1627156187
169,36530030,5.000,1.166,"0-2,15-30",1627156216
168,36530039,4.500,1.200,"0-2,30-30",1627156277
167,36530043,4.333,1.222,"0-2,40-30",1627156305
163,36530069,4.333,1.222,"0-2,A-40",1627156456
160,36530087,4.500,1.200,"0-2,40-40",1627156535
159,36530093,5.500,1.142,"0-2,40-A",1627156570
158,36530097,6.500,1.111,"0-3,0-0",1627156597
157,36530130,5.500,1.142,"0-3,15-0",1627156737
156,36530143,5.000,1.166,"0-3,30-0",1627156780
155,36530149,5.500,1.142,"0-3,30-15",1627156802
154,36530153,6.000,1.125,"0-3,30-30",1627156832
153,36530158,5.000,1.166,"0-3,40-30",1627156873
151,36530170,-,-,"0-3,40-40",1627156963
149,36530177,6.000,1.125,"0-3,40-A",1627156991
148,36530184,7.000,1.100,"0-4,0-0",1627157009
147,36530191,8.000,1.083,"0-4,0-15",1627157050
146,36530198,7.000,1.100,"0-4,15-15",1627157083
145,36530206,6.500,1.111,"0-4,30-15",1627157138
144,36530212,6.000,1.125,"0-4,40-15",1627157168
143,36530247,5.500,1.142,"1-4,15-0",1627157338
141,36530258,-,-,"1-4,15-15",1627157415
140,36530259,6.000,1.125,"1-4,15-30",1627157421
139,36530263,6.500,1.111,"1-4,15-40",1627157442
138,36530273,6.000,1.125,"1-4,30-40",1627157479
137,36530284,6.500,1.111,"1-5,0-0",1627157519
352,302655274,29.000,1.006,"1-5,15-0",1627157574
136,36530299,6.000,1.125,"1-5,30-0",1627157601
135,36530306,6.500,1.111,"1-5,30-15",1627157629
134,36530310,7.000,1.100,"1-5,30-30",1627157663
133,36530314,8.000,1.083,"1-5,30-40",1627157695
130,36530329,7.000,1.100,"1-5,40-40",1627157779
129,36530342,6.500,1.111,"1-5,A-40",1627157820
334,302655389,-,-,"2-5,0-0",1627157993
128,36530383,7.000,1.100,"2-5,0-15",1627157999
330,302655403,-,-,"2-5,0-30",1627158038
127,36530398,8.000,1.083,"2-5,0-40",1627158047
325,302655465,3.400,1.300,"2-6,0-0,0-0",1627158274
126,36530450,7.000,1.100,"2-6,0-0,15-0",1627158299
125,36530462,8.000,1.083,"2-6,0-0,15-15",1627158350
124,36530469,7.000,1.100,"2-6,0-0,30-15",1627158380
123,36530476,9.000,1.071,"2-6,0-0,30-30",1627158405
122,36530491,11.000,1.050,"2-6,0-0,30-40",1627158454
121,36530500,15.000,1.030,"2-6,0-1,0-0",1627158482
120,36530517,13.000,1.040,"2-6,0-1,15-0",1627158555
119,36530526,15.000,1.030,"2-6,0-1,15-15",1627158582
116,36530545,17.000,1.025,"2-6,0-1,15-30",1627158678
115,36530547,13.000,1.040,"2-6,0-1,30-30",1627158680
114,36530562,17.000,1.025,"2-6,0-1,30-40",1627158733
112,36530585,-,-,"2-6,0-2,0-0",1627158821
