,id,home_od,away_od,ss,add_time
169,70703565,3.000,1.363,"0-0,0-0",1697278823
168,70703575,3.250,1.333,"0-0,0-15",1697278832
349,337320371,3.000,1.363,"0-0,0-30",1697278857
167,70703636,3.500,1.285,"0-0,0-40",1697278897
347,337320425,3.400,1.300,"0-1,0-0",1697278915
166,70703687,3.400,1.300,"0-1,15-0",1697278975
165,70703697,3.250,1.333,"0-1,30-0",1697278983
164,70703708,3.400,1.300,"0-1,30-15",1697279009
163,70703711,3.750,1.250,"0-1,30-30",1697279014
162,70703732,3.400,1.300,"0-1,40-30",1697279064
161,70703751,3.250,1.333,"1-1,0-0",1697279092
159,70703772,3.500,1.285,"1-1,0-30",1697279137
157,70703784,3.750,1.250,"1-1,0-40",1697279159
156,70703801,3.400,1.300,"1-1,0-15",1697279184
155,70703804,3.750,1.250,"1-2,0-0",1697279188
153,70703874,3.750,1.250,"1-2,15-15",1697279313
152,70703883,3.500,1.285,"1-2,30-15",1697279325
151,70703892,4.000,1.222,"1-2,30-30",1697279344
150,70703904,3.500,1.285,"1-2,40-30",1697279375
143,70704006,5.000,1.166,"1-2,40-A",1697279538
141,70704034,4.333,1.200,"1-2,40-40",1697279592
140,70704041,3.750,1.250,"1-2,A-40",1697279604
139,70704067,3.500,1.285,"2-2,0-0",1697279645
136,70704152,3.750,1.250,"2-2,0-15",1697279773
135,70704171,3.500,1.285,"2-2,15-30",1697279803
134,70704182,4.000,1.222,"2-2,0-30",1697279816
133,70704187,3.250,1.333,"2-2,30-30",1697279825
130,70704251,3.500,1.285,"2-2,30-40",1697279924
302,337321078,3.400,1.300,"2-3,15-15",1697280010
126,70704320,3.500,1.285,"2-3,0-0",1697280025
124,70704339,3.400,1.300,"2-3,15-0",1697280046
123,70704343,3.750,1.250,"2-3,30-30",1697280056
122,70704348,3.400,1.300,"2-3,40-30",1697280062
121,70704366,3.250,1.333,"3-3,0-0",1697280097
120,70704382,3.400,1.300,"3-3,0-15",1697280149
119,70704400,3.500,1.285,"3-3,0-30",1697280183
116,70704465,3.250,1.333,"3-3,15-30",1697280289
115,70704467,3.000,1.363,"3-3,30-30",1697280291
114,70704472,3.250,1.333,"3-3,30-40",1697280297
113,70704484,3.500,1.285,"3-4,0-0",1697280325
112,70704526,3.000,1.363,"3-4,30-0",1697280439
111,70704561,2.750,1.400,"4-4,0-0",1697280515
110,70704575,3.000,1.363,"4-4,0-15",1697280533
282,337321359,2.375,1.533,"3-4,40-0",1697280538
109,70704584,3.250,1.333,"4-4,0-30",1697280563
108,70704596,3.400,1.300,"4-4,0-40",1697280576
107,70704614,3.500,1.285,"4-5,0-0",1697280604
106,70704659,4.000,1.222,"4-5,0-15",1697280718
105,70704664,3.500,1.285,"4-5,15-15",1697280732
104,70704675,4.000,1.222,"4-5,15-30",1697280751
103,70704695,3.500,1.285,"4-5,30-30",1697280786
102,70704700,3.250,1.333,"4-5,40-30",1697280795
101,70704723,3.000,1.363,"5-5,0-0",1697280829
100,70704744,2.625,1.444,"5-5,15-0",1697280878
99,70704750,2.750,1.400,"5-5,15-15",1697280894
97,70704770,2.375,1.533,"5-5,30-15",1697280947
96,70704783,2.100,1.666,"5-5,40-15",1697280956
95,70704804,1.800,1.950,"6-5,0-0",1697280979
94,70704872,1.750,2.000,"6-5,15-0",1697281086
92,70704890,1.571,2.250,"6-5,40-0",1697281114
91,70704900,1.666,2.100,"6-5,30-0",1697281132
89,70704925,1.666,2.100,"6-5,40-15",1697281154
88,70704940,1.571,2.250,"7-5,0-0,0-0",1697281176
87,70705053,1.533,2.375,"7-5,0-0,15-15",1697281336
86,70705067,1.615,2.200,"7-5,0-0,15-30",1697281365
83,70705121,1.533,2.375,"7-5,0-0,30-30",1697281454
82,70705125,1.615,2.200,"7-5,0-0,30-40",1697281459
81,70705135,1.666,2.100,"7-5,0-1,0-0",1697281472
80,70705170,1.750,2.000,"7-5,0-1,0-15",1697281534
78,70705198,1.700,2.050,"7-5,0-1,15-15",1697281584
77,70705199,1.615,2.200,"7-5,0-1,30-15",1697281586
76,70705230,1.700,2.050,"7-5,0-1,30-30",1697281626
75,70705246,1.615,2.200,"7-5,0-1,40-30",1697281648
73,70705294,1.533,2.375,"7-5,1-1,0-0",1697281723
71,70705321,1.571,2.250,"7-5,1-1,0-15",1697281759
70,70705333,1.666,2.100,"7-5,1-1,0-30",1697281772
69,70705351,1.700,2.050,"7-5,1-1,0-40",1697281795
66,70705409,1.615,2.200,"7-5,1-1,15-40",1697281867
62,70705520,1.700,2.050,"7-5,1-2,0-0",1697281980
59,70705539,1.800,1.950,"7-5,1-2,0-15",1697281997
56,70705574,1.700,2.050,"7-5,1-2,15-15",1697282034
53,70705607,1.615,2.200,"7-5,1-2,30-15",1697282065
51,70705620,1.750,2.000,"7-5,1-2,30-30",1697282087
50,70705631,1.615,2.200,"7-5,1-2,40-30",1697282103
49,70705663,1.571,2.250,"7-5,2-2,0-0",1697282136
48,70705716,1.615,2.200,"7-5,2-2,0-15",1697282207
47,70705744,1.666,2.100,"7-5,2-2,0-30",1697282237
46,70705771,1.700,2.050,"7-5,2-2,0-40",1697282273
45,70705789,1.750,2.000,"7-5,2-3,0-0",1697282299
44,70705861,1.909,1.909,"7-5,2-3,0-15",1697282403
43,70705875,1.750,2.000,"7-5,2-3,15-15",1697282428
42,70705888,1.666,2.100,"7-5,2-3,30-15",1697282445
41,70705914,1.615,2.200,"7-5,2-3,40-15",1697282477
38,70705973,1.571,2.250,"7-5,3-3,0-0",1697282542
37,70705976,1.444,2.625,"7-5,3-3,15-0",1697282553
36,70705984,1.533,2.375,"7-5,3-3,15-15",1697282559
31,70706028,1.571,2.250,"7-5,3-3,15-30",1697282606
30,70706037,1.500,2.500,"7-5,3-3,30-30",1697282620
27,70706087,1.571,2.250,"7-5,3-3,30-40",1697282669
22,70706156,1.571,2.250,"7-5,3-3,40-A",1697282738
21,70706176,1.444,2.625,"7-5,3-3,40-40",1697282759
16,70706234,1.250,3.750,"7-5,3-3,A-40",1697282817
13,70706315,1.125,6.000,"7-5,4-3,0-0",1697282915
12,70706328,1.083,8.000,"7-5,4-3,15-0",1697282921
9,70706365,1.125,6.000,"7-5,4-3,15-15",1697282963
8,70706371,1.083,8.000,"7-5,4-3,30-15",1697282968
7,70706390,1.062,10.000,"7-5,4-3,40-15",1697282991
4,70706460,1.050,11.000,"7-5,5-3,0-0",1697283072
2,70706480,1.020,19.000,"7-5,5-3,30-0",1697283092
1,70706500,1.006,29.000,"7-5,5-3,40-0",1697283124
0,70706519,1.040,13.000,"7-5,5-3,15-0",1697283146
