,id,home_od,away_od,ss,add_time
471,76517513,2.375,1.533,"0-0,15-0",1707596338
470,76517514,2.500,1.500,"0-0,0-0",1707596339
469,76517515,2.250,1.571,"0-0,30-0",1707596340
467,76517536,2.100,1.666,"1-0,0-0",1707596416
466,76517548,2.200,1.615,"0-0,40-0",1707596447
465,76517556,2.000,1.750,"1-0,15-0",1707596494
462,76517596,2.200,1.615,"1-0,15-30",1707596660
461,76517598,2.250,1.571,"1-0,15-40",1707596665
459,76517606,2.250,1.571,"1-1,15-0",1707596707
458,76517607,2.375,1.533,"1-1,0-0",1707596710
457,76517618,2.200,1.615,"1-1,30-0",1707596748
456,76517635,2.250,1.571,"1-1,40-30",1707596854
451,76517690,2.375,1.533,"1-1,A-40",1707597086
447,76517700,3.000,1.363,"1-1,40-A",1707597144
446,76517703,2.625,1.444,"1-1,40-40",1707597156
445,76517726,2.250,1.571,"2-1,0-0",1707597262
443,76517752,2.500,1.500,"2-1,0-30",1707597424
442,76517753,2.375,1.533,"2-1,0-15",1707597426
441,76517766,2.625,1.444,"2-2,0-0",1707597488
437,76517792,2.750,1.400,"2-2,0-15",1707597617
436,76517795,3.250,1.333,"2-2,0-30",1707597622
435,76517801,3.000,1.363,"2-2,15-30",1707597653
430,76517821,2.625,1.444,"2-2,30-30",1707597739
428,76517824,2.500,1.500,"2-2,40-30",1707597775
427,76517827,2.375,1.533,"3-2,0-0",1707597794
426,76517838,2.500,1.500,"3-2,0-15",1707597895
423,76517860,2.625,1.444,"3-2,0-30",1707598004
421,76517864,2.500,1.500,"3-2,15-30",1707598032
418,76517869,2.250,1.571,"3-2,30-30",1707598077
415,76517880,2.000,1.750,"3-2,40-30",1707598166
410,76517890,2.200,1.615,"3-2,40-40",1707598220
407,76517894,2.000,1.750,"3-2,A-40",1707598245
404,76517898,1.750,2.000,"4-2,0-0",1707598285
401,76517904,1.666,2.100,"4-2,15-0",1707598349
400,76517905,1.750,2.000,"4-2,15-15",1707598353
399,76517908,1.666,2.100,"4-2,30-15",1707598376
398,76517914,1.615,2.200,"4-2,40-15",1707598430
397,76517915,1.571,2.250,"5-2,0-0",1707598450
396,76517931,1.615,2.200,"5-2,0-15",1707598586
395,76517942,1.666,2.100,"5-2,0-40",1707598648
392,76517951,1.700,2.050,"5-3,0-0",1707598719
389,76517968,1.800,1.950,"5-3,0-15",1707598792
386,76517977,1.950,1.800,"5-3,0-30",1707598823
384,76517985,1.909,1.909,"5-3,15-30",1707598849
381,76518000,1.750,2.000,"5-3,30-30",1707598931
380,76518004,1.950,1.800,"5-3,30-40",1707598948
371,76518037,1.800,1.950,"5-3,40-40",1707599171
370,76518038,1.666,2.100,"5-3,A-40",1707599193
369,76518040,2.000,1.750,"5-3,40-A",1707599198
364,76518081,2.250,1.571,"5-4,0-0",1707599408
360,76518093,-,-,"5-4,0-15",1707599468
358,76518101,2.625,1.444,"5-4,0-30",1707599504
355,76518105,2.500,1.500,"5-4,15-30",1707599550
349,76518114,2.100,1.666,"5-4,30-30",1707599642
348,76518115,1.909,1.909,"5-4,40-30",1707599647
347,76518117,1.571,2.250,"6-4,0-0,0-0",1707599665
344,76518133,1.666,2.100,"6-4,0-0,0-15",1707599919
343,76518139,1.800,1.950,"6-4,0-0,0-30",1707599964
342,76518142,1.666,2.100,"6-4,0-0,15-30",1707599989
341,76518144,1.571,2.250,"6-4,0-0,30-30",1707600018
339,76518149,1.700,2.050,"6-4,0-0,30-40",1707600042
336,76518160,1.950,1.800,"6-4,0-1,0-0",1707600129
328,76518169,1.950,1.800,"6-4,0-1,15-15",1707600190
327,76518170,-,-,"6-4,0-1,0-15",1707600196
325,76518177,1.909,1.909,"6-4,0-1,30-30",1707600260
323,76518181,1.750,2.000,"6-4,0-1,30-15",1707600290
322,76518185,1.950,1.800,"6-4,0-1,30-40",1707600306
319,76518196,2.050,1.700,"6-4,0-2,0-0",1707600364
314,76518207,2.100,1.666,"6-4,0-2,0-15",1707600439
313,76518208,2.250,1.571,"6-4,0-2,0-30",1707600440
309,76518218,2.200,1.615,"6-4,0-2,15-30",1707600484
307,76518224,2.250,1.571,"6-4,0-2,15-40",1707600517
304,76518238,2.500,1.500,"6-4,0-3,0-0",1707600643
301,76518244,2.375,1.533,"6-4,0-3,15-0",1707600693
299,76518249,2.500,1.500,"6-4,0-3,15-15",1707600722
298,76518250,2.625,1.444,"6-4,0-3,15-30",1707600727
296,76518262,2.625,1.444,"6-4,0-3,30-40",1707600790
294,76518273,-,-,"6-4,0-3,15-40",1707600843
265,76518408,2.250,1.571,"6-4,0-3,40-A",1707601448
262,76518420,2.200,1.615,"6-4,0-3,40-40",1707601504
261,76518421,2.050,1.700,"6-4,0-3,A-40",1707601510
256,76518458,1.950,1.800,"6-4,1-3,0-0",1707601654
252,76518471,1.950,1.800,"6-4,1-3,15-15",1707601691
251,76518474,1.909,1.909,"6-4,1-3,15-0",1707601699
246,76518490,2.100,1.666,"6-4,1-3,15-30",1707601769
245,76518495,2.000,1.750,"6-4,1-3,30-30",1707601782
244,76518496,2.100,1.666,"6-4,1-3,30-40",1707601784
233,76518574,2.050,1.700,"6-4,1-3,40-40",1707602039
230,76518584,2.200,1.615,"6-4,1-3,40-A",1707602068
227,76518630,2.375,1.533,"6-4,1-4,0-0",1707602252
222,76518646,2.100,1.666,"6-4,1-4,30-0",1707602301
221,76518649,2.250,1.571,"6-4,1-4,15-0",1707602307
220,76518650,2.050,1.700,"6-4,1-4,40-0",1707602321
217,76518658,2.100,1.666,"6-4,1-4,40-15",1707602382
211,76518675,2.200,1.615,"6-4,1-4,40-30",1707602456
207,76518685,2.500,1.500,"6-4,1-4,40-40",1707602490
206,76518690,2.250,1.571,"6-4,1-4,A-40",1707602496
203,76518714,2.100,1.666,"6-4,2-4,0-0",1707602564
202,76518715,2.050,1.700,"6-4,2-4,15-0",1707602566
201,76518719,1.950,1.800,"6-4,2-4,30-0",1707602575
200,76518722,2.050,1.700,"6-4,2-4,30-15",1707602597
199,76518725,1.950,1.800,"6-4,2-4,40-15",1707602623
193,76518780,1.950,1.800,"6-4,3-4,0-0",1707602839
192,76518782,2.000,1.750,"6-4,3-4,0-15",1707602842
191,76518783,2.100,1.666,"6-4,3-4,0-30",1707602849
190,76518791,2.000,1.750,"6-4,3-4,15-30",1707602916
187,76518817,1.909,1.909,"6-4,3-4,30-30",1707603022
186,76518820,2.000,1.750,"6-4,3-4,30-40",1707603024
185,76518831,2.100,1.666,"6-4,3-5,0-0",1707603066
182,76518862,2.250,1.571,"6-4,3-5,0-15",1707603164
177,76518874,2.100,1.666,"6-4,3-5,15-15",1707603196
172,76518889,2.250,1.571,"6-4,3-5,15-30",1707603237
