,id,home_od,away_od,ss,add_time
212,321028683,1.700,2.050,"0-0,0-0",1673398472
99,54086637,1.571,2.250,"0-0,15-0",1673399309
98,54086668,1.700,2.050,"0-0,15-40",1673399381
97,54086687,1.666,2.100,"0-0,30-40",1673399423
96,54086696,1.571,2.250,"0-1,0-0",1673399437
95,54086724,1.666,2.100,"0-1,0-15",1673399509
94,54086755,1.533,2.375,"0-1,30-15",1673399559
93,54086776,1.500,2.500,"1-1,0-0",1673399594
92,54086804,1.444,2.625,"1-1,15-0",1673399645
91,54086848,1.363,3.000,"1-1,30-0",1673399741
90,54086859,1.444,2.625,"1-1,30-30",1673399753
89,54086872,1.500,2.500,"1-1,30-40",1673399777
85,54086935,1.363,3.000,"1-1,A-40",1673399895
81,54086974,1.500,2.500,"1-1,40-A",1673399979
80,54087007,1.444,2.625,"1-1,40-40",1673400025
79,54087038,1.250,3.750,"2-1,0-0",1673400102
78,54087099,1.300,3.400,"2-1,0-15",1673400227
77,54087113,1.363,3.000,"2-1,0-30",1673400251
76,54087134,1.333,3.250,"2-1,15-30",1673400286
75,54087162,1.250,3.750,"2-1,40-30",1673400342
74,54087184,1.222,4.000,"3-1,0-0",1673400374
73,54087217,1.250,3.750,"3-1,15-30",1673400449
183,321029507,1.142,5.500,"3-1,15-40",1673400452
182,321029588,1.111,6.500,"3-2,15-0",1673400605
72,54087306,1.222,4.000,"3-2,30-0",1673400618
180,321029612,1.083,8.000,"3-2,40-0",1673400666
71,54087346,1.200,4.333,"4-2,0-0",1673400713
179,321029643,1.062,10.000,"4-2,15-0",1673400719
70,54087367,1.181,4.500,"4-2,30-15",1673400757
69,54087387,1.142,5.500,"4-2,40-15",1673400824
68,54087390,1.166,5.000,"4-2,40-30",1673400828
66,54087441,1.125,6.000,"5-2,15-0",1673400943
65,54087453,1.142,5.500,"5-2,0-0",1673400972
64,54087480,1.125,6.000,"5-2,40-15",1673401034
62,54087520,-,-,"6-2,0-0,0-0",1673401147
61,54087573,1.111,6.500,"6-2,0-0,30-30",1673401264
60,54087576,1.142,5.500,"6-2,0-0,30-40",1673401273
165,321030058,1.363,3.000,"6-2,0-1,15-0",1673401627
58,54087757,1.083,8.000,"6-2,0-1,30-0",1673401662
57,54087778,1.100,7.000,"6-2,0-1,0-0",1673401709
56,54087781,1.083,8.000,"6-2,1-1,0-0",1673401724
55,54087791,1.100,7.000,"6-2,1-1,0-15",1673401752
160,321030123,1.400,2.750,"6-2,1-1,0-30",1673401783
54,54087847,1.083,8.000,"6-2,1-1,30-40",1673401864
52,54087894,1.083,8.000,"6-2,1-1,40-A",1673401982
51,54087906,1.071,9.000,"6-2,1-1,40-40",1673402022
49,54087950,-,-,"6-2,1-2,0-0",1673402130
48,54088058,1.083,8.000,"6-2,1-2,15-0",1673402364
