,id,home_od,away_od,ss,add_time
1255,341772750,1.700,2.050,"0-0,0-0",1705297225
587,75242574,1.615,2.300,"0-0,0-15",1705298576
583,75242610,1.800,2.000,"0-0,0-30",1705298617
580,75242650,1.909,1.909,"0-0,0-40",1705298667
579,75242653,1.800,2.000,"0-0,15-40",1705298668
576,75242733,1.727,2.100,"0-0,30-40",1705298791
568,75242912,1.909,1.909,"0-1,0-0",1705298929
567,75242914,2.000,1.800,"0-1,0-15",1705298930
563,75242967,2.000,1.800,"0-1,0-30",1705299003
559,75243001,2.000,1.800,"0-1,15-40",1705299039
558,75243032,1.909,1.909,"0-1,15-30",1705299062
541,75243253,1.800,2.000,"0-1,40-40",1705299349
540,75243264,1.666,2.200,"0-1,A-40",1705299399
539,75243274,1.571,2.375,"1-1,0-0",1705299438
536,75243382,1.533,2.500,"1-1,15-0",1705299615
533,75243422,1.500,2.625,"1-1,30-0",1705299658
532,75243423,1.533,2.500,"1-1,30-15",1705299659
528,75243475,1.533,2.500,"1-1,40-30",1705299740
527,75243482,1.500,2.625,"1-1,40-15",1705299748
525,75243650,1.500,2.625,"2-1,0-0",1705299956
522,75243663,1.533,2.500,"2-1,0-15",1705299967
515,75243755,1.500,2.625,"2-1,15-15",1705300032
510,75243820,1.444,2.750,"2-1,30-15",1705300070
505,75243877,1.533,2.500,"2-1,30-40",1705300104
504,75243910,1.444,2.750,"2-1,30-30",1705300125
497,75244005,1.400,3.000,"2-1,A-40",1705300256
490,75244067,1.444,2.750,"2-1,40-40",1705300302
488,75244097,1.500,2.625,"2-1,40-A",1705300337
484,75244162,1.615,2.300,"2-2,0-15",1705300400
482,75244196,1.533,2.500,"2-2,0-0",1705300427
481,75244204,1.571,2.375,"2-2,15-15",1705300430
478,75244287,1.533,2.500,"2-2,30-15",1705300541
469,75244383,1.500,2.625,"2-2,40-15",1705300613
464,75244495,1.444,2.750,"3-2,0-0",1705300726
458,75244545,1.500,2.625,"3-2,0-15",1705300765
457,75244549,1.533,2.500,"3-2,0-30",1705300768
453,75244602,1.500,2.625,"3-2,15-30",1705300829
452,75244604,1.444,2.750,"3-2,30-30",1705300831
451,75244671,1.363,3.200,"3-2,40-30",1705300891
450,75244681,1.444,2.750,"3-2,40-40",1705300899
449,75244715,1.500,2.625,"3-2,40-A",1705300947
448,75244771,1.533,2.500,"3-3,0-0",1705301042
442,75244820,1.615,2.300,"3-3,0-15",1705301146
434,75244882,1.727,2.100,"3-3,0-30",1705301207
431,75244973,1.800,2.000,"3-3,0-40",1705301303
427,75245023,1.727,2.100,"3-3,15-40",1705301350
417,75245121,1.727,2.100,"3-3,30-40",1705301435
403,75245336,2.000,1.800,"3-4,0-0",1705301595
400,75245366,2.100,1.727,"3-4,0-15",1705301618
399,75245367,2.000,1.800,"3-4,15-15",1705301620
393,75245417,2.000,1.800,"3-4,15-30",1705301695
389,75245461,2.100,1.727,"3-4,15-40",1705301732
386,75245495,2.200,1.666,"3-5,0-0",1705301756
385,75245503,2.100,1.727,"3-5,15-0",1705301759
1023,341776987,6.500,1.111,"3-5,30-0",1705301810
1022,341776989,6.000,1.125,"3-5,40-0",1705301812
384,75245593,2.000,1.800,"4-5,0-0",1705301851
