,id,home_od,away_od,ss,add_time
147,25675468,1.167,5.000,0-0,1579596426
146,25675574,1.143,5.500,0-1,1579596538
137,25675859,1.100,7.000,1-1,1579596801
134,25676021,1.100,7.000,1-2,1579596967
115,25676697,-,-,2-2,1579597640
113,25676807,1.015,21.000,3-2,1579597782
104,25677065,1.007,29.000,4-2,1579598041
99,25677285,1.010,26.000,5-2,1579598260
96,25677549,1.012,23.000,"6-2,0-0",1579598505
93,25677702,1.010,26.000,"6-2,0-1",1579598645
89,25677968,1.015,21.000,"6-2,1-1",1579598886
87,25678162,1.015,21.000,"6-2,1-2",1579599055
86,25678273,1.020,19.000,"6-2,2-2",1579599170
82,25678520,1.020,19.000,"6-2,2-3",1579599443
80,25678641,1.030,15.000,"6-2,3-3",1579599574
78,25678866,1.030,15.000,"6-2,3-4",1579599835
76,25679031,1.030,15.000,"6-2,4-4",1579600017
74,25679189,1.030,15.000,"6-2,4-5",1579600195
69,25679383,1.040,13.000,"6-2,5-5",1579600395
66,25679545,1.030,15.000,"6-2,5-6",1579600557
50,25680035,1.007,29.000,"6-2,6-6",1579601016
46,25680526,1.004,41.000,"6-2,7-6,0-0",1579601501
41,25680737,1.005,34.000,"6-2,7-6,1-0",1579601702
39,25680872,1.005,34.000,"6-2,7-6,1-1",1579601862
26,25681380,1.004,41.000,"6-2,7-6,2-1",1579602372
20,25681590,1.005,34.000,"6-2,7-6,2-2",1579602570
19,25681746,1.007,29.000,"6-2,7-6,3-2",1579602734
17,25681921,1.007,29.000,"6-2,7-6,3-3",1579602908
16,25682216,1.010,26.000,"6-2,7-6,4-3",1579603202
13,25682370,1.007,29.000,"6-2,7-6,4-4",1579603368
10,25682644,1.010,26.000,"6-2,7-6,5-4",1579603626
9,25682724,1.007,29.000,"6-2,7-6,5-5",1579603708
8,25682924,1.010,26.000,"6-2,7-6,6-5",1579603902
0,25683347,-,-,"6-2,7-6,6-6",1579604280
