,id,home_od,away_od,ss,add_time
282,54260665,-,-,"0-0,0-0",1673914223
280,54260676,-,-,"0-0,15-0",1673914260
279,54260686,1.363,3.200,"0-0,15-30",1673914315
278,54260702,1.333,3.400,"0-0,30-30",1673914355
277,54260724,1.285,3.750,"0-0,40-30",1673914418
276,54260737,1.333,3.400,"0-0,40-40",1673914453
275,54260749,1.285,3.750,"0-0,A-40",1673914485
274,54260776,1.222,4.333,"1-0,0-0",1673914538
584,321199797,1.142,5.500,"1-0,15-0",1673914627
273,54260824,1.200,4.500,"1-0,30-0",1673914650
582,321199815,1.111,6.500,"1-0,40-0",1673914672
581,321199839,1.125,6.000,"1-0,40-15",1673914723
272,54260857,1.222,4.333,"1-0,40-30",1673914729
579,321199872,1.125,6.000,"2-0,0-0",1673914808
578,321199876,1.142,5.500,"2-0,0-15",1673914814
270,54260929,1.200,4.500,"2-0,30-30",1673914916
269,54260950,1.222,4.333,"2-0,30-40",1673914974
267,54260980,1.222,4.333,"2-0,40-A",1673915037
260,54261085,1.200,4.500,"2-0,40-40",1673915325
259,54261099,-,-,"2-0,A-40",1673915353
258,54261103,1.142,5.500,"3-0,0-0",1673915370
565,321200185,1.025,17.000,"3-0,30-15",1673915496
257,54261172,1.166,5.000,"3-0,30-30",1673915525
256,54261182,1.142,5.500,"3-0,40-30",1673915571
250,54261267,1.200,4.500,"3-0,40-A",1673915776
248,54261288,-,-,"3-0,40-40",1673915821
247,54261293,1.166,5.000,"3-0,A-40",1673915842
246,54261302,1.142,5.500,"4-0,0-0",1673915863
245,54261316,1.166,5.000,"4-0,0-15",1673915891
550,321200380,1.025,17.000,"4-0,0-40",1673915946
549,321200388,1.020,19.000,"4-0,0-30",1673915959
548,321200396,1.025,17.000,"4-1,0-0",1673915981
547,321200439,1.015,21.000,"4-1,15-0",1673916095
546,321200448,1.025,17.000,"4-1,15-15",1673916111
244,54261420,1.200,4.500,"4-1,15-30",1673916146
544,321200481,-,-,"4-1,30-30",1673916180
243,54261452,1.166,5.000,"4-1,40-30",1673916220
543,321200508,1.006,29.000,"5-1,0-0",1673916250
542,321200545,1.010,26.000,"5-1,15-40",1673916328
541,321200552,1.006,29.000,"5-1,15-30",1673916346
242,54261507,-,-,"5-1,30-30",1673916356
240,54261542,1.166,5.000,"5-1,40-A",1673916451
235,54261592,-,-,"5-1,40-40",1673916590
234,54261595,1.142,5.500,"5-1,A-40",1673916597
233,54261611,1.125,6.000,"6-1,0-0,0-0",1673916638
536,321200751,1.333,3.250,"6-1,0-0,15-0",1673916806
