,id,home_od,away_od,ss,add_time
384,344436210,1.571,2.250,"0-0,0-0",1709956814
187,77966735,1.533,2.500,"0-0,0-15",1709957420
186,77966744,1.571,2.375,"0-0,0-30",1709957443
181,77966775,1.500,2.625,"0-0,15-30",1709957528
180,77966778,1.571,2.375,"0-0,15-40",1709957534
179,77966781,1.500,2.625,"0-0,30-40",1709957546
176,77966810,1.400,3.000,"0-0,40-40",1709957644
175,77966821,1.500,2.625,"0-0,40-A",1709957676
173,77966845,1.300,3.500,"0-0,A-40",1709957717
172,77966851,1.250,4.000,"1-0,0-0",1709957727
170,77966883,1.300,3.500,"1-0,0-15",1709957835
167,77966895,1.363,3.200,"1-0,0-30",1709957867
166,77966896,1.300,3.500,"1-0,15-30",1709957871
165,77966904,1.285,3.750,"1-0,30-30",1709957906
164,77966922,1.363,3.200,"1-0,30-40",1709957949
156,77966978,1.300,3.500,"1-0,40-40",1709958066
155,77966985,1.285,3.750,"1-0,A-40",1709958074
154,77966996,1.250,4.000,"2-0,0-0",1709958104
153,77967009,1.222,4.333,"2-0,15-0",1709958164
152,77967017,1.250,4.000,"2-0,15-15",1709958186
346,344436759,1.142,5.500,"2-0,15-30",1709958218
151,77967026,1.285,3.750,"2-0,15-40",1709958231
150,77967087,1.250,4.000,"2-1,15-0",1709958372
343,344436828,1.111,6.500,"2-1,30-0",1709958409
149,77967111,1.285,3.750,"2-1,30-15",1709958436
148,77967119,1.250,4.000,"2-1,40-15",1709958457
338,344436870,1.111,6.500,"3-1,0-15",1709958535
146,77967161,1.250,4.000,"3-1,0-0",1709958559
145,77967174,1.285,3.750,"3-1,0-40",1709958580
143,77967191,1.285,3.750,"3-1,0-30",1709958611
142,77967192,1.250,4.000,"3-1,15-40",1709958612
333,344436911,1.111,6.500,"3-1,30-40",1709958647
139,77967231,1.222,4.333,"3-1,40-40",1709958717
134,77967264,1.200,4.500,"3-1,A-40",1709958773
133,77967265,1.142,5.500,"4-1,0-0",1709958776
132,77967289,1.166,5.000,"4-1,0-15",1709958856
131,77967299,1.200,4.500,"4-1,0-30",1709958885
130,77967318,1.222,4.333,"4-1,15-40",1709958961
129,77967330,1.200,4.500,"4-1,15-30",1709958992
128,77967340,1.250,4.000,"4-2,0-0",1709959014
315,344437028,1.111,6.500,"4-2,0-15",1709959068
127,77967365,1.285,3.750,"4-2,0-30",1709959102
125,77967389,1.285,3.750,"4-2,15-40",1709959174
124,77967397,1.300,3.500,"4-2,0-40",1709959182
123,77967404,1.285,3.750,"4-3,0-0",1709959197
122,77967461,1.250,4.000,"4-3,15-0",1709959331
311,344437111,1.050,11.000,"4-3,40-0",1709959363
119,77967486,1.222,4.333,"4-3,30-0",1709959396
116,77967499,1.250,4.000,"4-3,40-15",1709959440
115,77967502,1.285,3.750,"4-3,40-30",1709959442
114,77967527,1.250,4.000,"5-3,0-0",1709959487
113,77967538,1.222,4.333,"5-3,15-0",1709959510
112,77967548,1.200,4.500,"5-3,30-15",1709959548
111,77967557,1.222,4.333,"5-3,30-30",1709959581
110,77967570,1.200,4.500,"5-3,40-30",1709959616
104,77967634,1.200,4.500,"5-3,40-40",1709959734
103,77967649,1.222,4.333,"5-3,40-A",1709959759
102,77967663,1.166,5.000,"5-3,A-40",1709959777
101,77967666,1.142,5.500,"6-3,0-0,0-0",1709959786
100,77967723,1.125,6.000,"6-3,0-0,15-0",1709959941
285,344437334,1.400,2.750,"6-3,0-0,30-15",1709960002
99,77967765,1.111,6.500,"6-3,0-0,40-15",1709960005
283,344437360,1.300,3.400,"6-3,1-0,0-0",1709960072
98,77967832,1.100,7.000,"6-3,1-0,15-15",1709960145
96,77967849,1.142,5.500,"6-3,1-0,15-40",1709960188
93,77967862,1.125,6.000,"6-3,1-0,15-30",1709960204
88,77967899,1.142,5.500,"6-3,1-1,0-0",1709960277
87,77967906,1.200,4.500,"6-3,1-1,0-15",1709960287
86,77967923,1.166,5.000,"6-3,1-1,15-15",1709960323
85,77967926,1.142,5.500,"6-3,1-1,30-15",1709960332
84,77967940,1.166,5.000,"6-3,1-1,30-30",1709960370
83,77967946,1.142,5.500,"6-3,1-1,40-30",1709960392
82,77967956,1.125,6.000,"6-3,2-1,0-0",1709960413
81,77968014,1.100,7.000,"6-3,2-1,15-0",1709960564
80,77968031,1.142,5.500,"6-3,2-1,15-30",1709960606
79,77968040,1.166,5.000,"6-3,2-1,15-40",1709960639
76,77968092,1.142,5.500,"6-3,2-1,30-40",1709960744
72,77968114,1.062,10.000,"6-3,2-1,A-40",1709960780
71,77968126,1.111,6.500,"6-3,2-1,40-40",1709960806
68,77968152,1.142,5.500,"6-3,2-2,0-0",1709960895
66,77968155,1.142,5.500,"6-3,2-2,15-0",1709960908
63,77968178,1.142,5.500,"6-3,2-2,30-15",1709960959
61,77968185,1.125,6.000,"6-3,2-2,30-0",1709960986
59,77968194,1.200,4.500,"6-3,2-2,30-30",1709961002
56,77968220,1.142,5.500,"6-3,2-2,40-30",1709961060
51,77968252,1.200,4.500,"6-3,2-2,40-40",1709961119
50,77968264,1.166,5.000,"6-3,2-2,A-40",1709961142
47,77968317,1.142,5.500,"6-3,3-2,0-0",1709961301
46,77968324,1.100,7.000,"6-3,3-2,15-0",1709961324
45,77968326,1.166,5.000,"6-3,3-2,15-30",1709961331
44,77968338,1.125,6.000,"6-3,3-2,30-30",1709961355
43,77968358,1.071,9.000,"6-3,3-2,40-30",1709961405
42,77968380,1.030,15.000,"6-3,4-2,0-0",1709961450
41,77968402,1.050,11.000,"6-3,4-2,0-15",1709961504
37,77968428,1.030,15.000,"6-3,4-2,15-15",1709961560
36,77968430,1.015,21.000,"6-3,4-2,40-15",1709961562
33,77968489,1.020,19.000,"6-3,4-2,30-15",1709961684
32,77968495,1.010,26.000,"6-3,5-2,0-0",1709961702
30,77968512,1.015,21.000,"6-3,5-2,0-30",1709961746
29,77968523,1.012,23.000,"6-3,5-2,0-15",1709961775
24,77968554,1.015,21.000,"6-3,5-2,15-40",1709961834
19,77968575,1.015,21.000,"6-3,5-3,0-0",1709961869
17,77968592,1.040,13.000,"6-3,5-3,0-15",1709961897
14,77968608,1.025,17.000,"6-3,5-3,15-15",1709961928
13,77968609,1.050,11.000,"6-3,5-3,15-30",1709961929
10,77968629,1.062,10.000,"6-3,5-3,30-40",1709961974
9,77968635,1.083,8.000,"6-3,5-3,15-40",1709961983
3,77968665,1.025,17.000,"6-3,5-3,40-40",1709962043
1,77968674,1.006,29.000,"6-3,5-3,A-40",1709962067
0,77968676,-,-,"6-3,6-3,0-0",1709962071
