,id,home_od,away_od,ss,add_time
132,43382782,1.727,2.100,"0-0,0-0",1647381962
131,43382891,1.800,2.000,"0-0,0-15",1647382572
128,43382896,1.727,2.100,"0-0,15-15",1647382610
127,43382897,1.800,2.000,"0-0,15-30",1647382611
299,309910822,1.950,1.800,"0-0,15-40",1647382631
125,43382916,1.800,2.000,"0-1,0-0",1647382732
124,43382917,2.000,1.800,"0-1,0-15",1647382737
123,43382929,1.909,1.909,"0-1,15-15",1647382782
122,43382939,1.800,2.000,"0-1,30-15",1647382828
289,309910885,1.800,1.950,"0-1,40-15",1647382870
121,43382962,1.909,1.909,"0-1,40-30",1647382900
120,43382972,1.800,2.000,"1-1,0-0",1647382927
119,43382988,1.909,1.909,"1-1,0-15",1647382969
285,309910931,2.000,1.750,"1-1,0-30",1647382997
112,43383019,2.000,1.800,"1-1,0-40",1647383055
111,43383020,2.100,1.727,"1-2,0-0",1647383057
110,43383060,2.000,1.800,"1-2,15-0",1647383194
109,43383070,1.909,1.909,"1-2,30-0",1647383227
108,43383088,1.800,2.000,"1-2,40-0",1647383270
107,43383095,2.000,1.800,"1-2,40-15",1647383296
267,309911025,2.000,1.750,"1-2,40-30",1647383337
266,309911035,1.950,1.800,"2-2,0-0",1647383364
101,43383131,2.000,1.800,"2-2,0-15",1647383416
100,43383134,1.909,1.909,"2-2,15-15",1647383425
99,43383139,2.000,1.800,"2-2,15-30",1647383451
98,43383147,1.800,2.000,"2-2,30-30",1647383481
97,43383156,2.000,1.800,"2-2,30-40",1647383511
96,43383166,2.100,1.727,"2-3,0-0",1647383547
93,43383219,2.000,1.800,"2-3,15-0",1647383718
92,43383223,2.100,1.727,"2-3,15-15",1647383729
91,43383239,2.000,1.800,"2-3,30-15",1647383777
89,43383260,2.200,1.666,"2-3,30-30",1647383847
88,43383266,2.000,1.800,"2-3,40-30",1647383863
241,309911182,1.950,1.800,"3-3,0-0",1647383897
86,43383286,2.000,1.800,"3-3,0-15",1647383945
85,43383298,2.100,1.727,"3-3,0-30",1647383981
84,43383309,2.200,1.666,"3-3,0-40",1647384010
81,43383361,2.100,1.727,"3-4,15-0",1647384181
235,309911266,2.000,1.750,"3-4,30-0",1647384227
80,43383378,2.000,1.800,"3-4,40-0",1647384240
79,43383397,2.100,1.727,"4-4,0-15",1647384307
231,309911299,2.050,1.700,"4-4,0-30",1647384349
74,43383422,2.000,1.800,"4-4,15-30",1647384397
73,43383425,2.100,1.727,"4-4,15-40",1647384408
71,43383458,2.100,1.727,"4-5,0-0",1647384563
223,309911350,2.050,1.700,"4-5,15-0",1647384590
70,43383464,2.000,1.800,"4-5,30-0",1647384607
69,43383476,1.909,1.909,"5-5,0-0",1647384649
65,43383489,1.727,2.100,"5-5,15-0",1647384705
64,43383492,1.909,1.909,"5-5,15-15",1647384723
63,43383503,1.666,2.200,"5-5,30-15",1647384745
62,43383517,1.800,2.000,"5-5,30-30",1647384792
61,43383528,1.909,1.909,"5-5,30-40",1647384824
60,43383535,2.000,1.800,"5-6,0-0",1647384853
56,43383578,2.000,1.800,"5-6,15-0",1647385010
53,43383596,2.100,1.727,"5-6,15-15",1647385071
52,43383598,2.000,1.800,"5-6,30-15",1647385073
203,309911453,1.950,1.800,"5-6,40-15",1647385108
51,43383617,2.100,1.727,"5-6,40-30",1647385162
47,43383632,2.300,1.615,"5-6,40-40",1647385243
46,43383638,2.625,1.500,"5-6,40-A",1647385277
45,43383645,4.000,1.250,"5-7,0-0,0-0",1647385315
44,43383669,4.333,1.222,"5-7,0-0,0-15",1647385512
43,43383670,4.500,1.200,"5-7,0-0,0-30",1647385529
189,309911545,2.250,1.571,"5-7,0-1,0-0",1647385641
42,43383688,5.000,1.166,"5-7,0-1,0-15",1647385644
41,43383693,6.000,1.125,"5-7,0-1,0-30",1647385670
40,43383698,5.500,1.142,"5-7,0-1,15-30",1647385700
38,43383709,5.000,1.166,"5-7,0-1,30-30",1647385755
37,43383714,4.333,1.222,"5-7,0-1,40-30",1647385783
182,309911587,2.100,1.666,"5-7,1-1,0-0",1647385824
34,43383725,4.500,1.200,"5-7,1-1,0-15",1647385897
33,43383727,4.000,1.250,"5-7,1-1,15-15",1647385899
32,43383729,4.333,1.222,"5-7,1-1,15-30",1647385931
31,43383733,4.500,1.200,"5-7,1-1,15-40",1647385965
172,309911615,2.375,1.533,"5-7,1-2,0-0",1647385994
30,43383752,4.333,1.222,"5-7,1-2,15-0",1647386144
29,43383756,5.000,1.166,"5-7,1-2,15-15",1647386170
28,43383762,4.500,1.200,"5-7,1-2,30-15",1647386196
27,43383770,5.000,1.166,"5-7,1-2,30-30",1647386230
26,43383779,6.500,1.111,"5-7,1-2,30-40",1647386290
25,43383780,13.000,1.040,"5-7,1-3,0-0",1647386293
23,43383799,13.000,1.040,"5-7,1-3,0-15",1647386374
22,43383802,11.000,1.050,"5-7,1-3,15-15",1647386383
21,43383807,13.000,1.040,"5-7,1-3,15-30",1647386406
20,43383812,15.000,1.030,"5-7,1-3,15-40",1647386427
19,43383815,17.000,1.025,"5-7,1-4,0-0",1647386447
17,43383841,17.000,1.025,"5-7,1-4,15-0",1647386600
16,43383844,19.000,1.020,"5-7,1-4,30-0",1647386622
15,43383848,17.000,1.025,"5-7,1-4,40-0",1647386645
14,43383862,21.000,1.015,"5-7,2-4,0-15",1647386715
13,43383869,23.000,1.012,"5-7,2-4,0-30",1647386738
12,43383876,26.000,1.010,"5-7,2-4,0-40",1647386771
146,309911746,19.000,1.020,"5-7,2-5,0-0",1647386801
11,43383904,29.000,1.006,"5-7,2-5,0-15",1647386935
144,309911768,19.000,1.020,"5-7,2-5,15-15",1647386962
10,43383917,34.000,1.005,"5-7,2-5,15-30",1647386995
9,43383920,29.000,1.006,"5-7,2-5,30-30",1647387018
8,43383924,26.000,1.010,"5-7,2-5,40-30",1647387041
6,43383938,34.000,1.005,"5-7,3-5,0-15",1647387127
4,43383946,19.000,1.020,"5-7,3-5,15-15",1647387170
2,43383953,29.000,1.006,"5-7,3-5,15-30",1647387211
0,43383958,-,-,"5-7,3-5,15-40",1647387252
