,id,home_od,away_od,ss,add_time
262,302389024,1.166,5.000,"0-0,0-0",1626571472
93,36279463,1.083,8.000,"0-0,15-0",1626571697
92,36279467,1.062,10.000,"0-0,30-0",1626571734
91,36279470,1.050,11.000,"0-0,40-0",1626571766
89,36279478,1.050,11.000,"1-0,0-0",1626571904
88,36279479,1.040,13.000,"1-0,15-0",1626571907
87,36279480,1.030,15.000,"1-0,30-0",1626571927
254,302389049,1.025,17.000,"1-0,40-0",1626571947
86,36279483,1.040,13.000,"1-0,40-15",1626571964
85,36279484,1.030,15.000,"2-0,0-0",1626571986
84,36279487,1.025,17.000,"2-0,15-0",1626572030
82,36279494,1.015,21.000,"2-0,30-0",1626572096
81,36279495,1.012,23.000,"2-0,40-0",1626572102
80,36279499,1.015,21.000,"2-0,40-15",1626572141
79,36279501,1.020,19.000,"2-0,40-30",1626572174
78,36279505,1.025,17.000,"2-0,40-40",1626572204
77,36279510,1.020,19.000,"2-0,A-40",1626572268
76,36279511,1.012,23.000,"3-0,0-0",1626572278
75,36279518,1.015,21.000,"3-0,0-15",1626572387
74,36279520,1.012,23.000,"3-0,15-15",1626572418
236,302389085,1.002,51.000,"3-0,30-15",1626572436
71,36279523,1.010,26.000,"3-0,40-15",1626572493
70,36279524,1.006,29.000,"4-0,0-0",1626572495
229,302389094,-,-,"4-0,15-0",1626572567
228,302389095,1.001,67.000,"4-0,15-15",1626572575
69,36279529,1.010,26.000,"4-0,15-30",1626572587
68,36279531,1.006,29.000,"4-0,30-30",1626572607
67,36279533,1.010,26.000,"4-0,30-40",1626572644
224,302389104,1.002,51.000,"4-1,0-0",1626572685
223,302389109,1.001,67.000,"4-1,15-0",1626572784
66,36279543,1.012,23.000,"4-1,15-15",1626572809
65,36279545,1.010,26.000,"4-1,30-15",1626572839
64,36279547,1.012,23.000,"4-1,30-30",1626572870
63,36279550,1.015,21.000,"4-1,30-40",1626572898
60,36279556,1.020,19.000,"4-1,40-A",1626572967
57,36279568,1.015,21.000,"4-1,40-40",1626573107
56,36279570,1.012,23.000,"4-1,A-40",1626573124
55,36279574,1.010,26.000,"5-1,0-0",1626573151
54,36279578,1.012,23.000,"5-1,0-15",1626573215
53,36279581,1.015,21.000,"5-1,0-30",1626573234
52,36279585,1.012,23.000,"5-1,15-30",1626573271
51,36279588,1.010,26.000,"5-1,30-30",1626573305
50,36279594,1.012,23.000,"5-2,0-0",1626573409
183,302389183,-,-,"5-2,15-0",1626573511
49,36279601,1.010,26.000,"5-2,30-0",1626573524
48,36279603,1.012,23.000,"5-2,30-15",1626573555
47,36279605,1.010,26.000,"5-2,40-15",1626573589
178,302389188,1.100,7.000,"6-2,0-0,0-0",1626573611
46,36279610,1.012,23.000,"6-2,0-0,0-15",1626573733
45,36279611,1.015,21.000,"6-2,0-0,0-30",1626573755
44,36279612,1.020,19.000,"6-2,0-0,0-40",1626573775
43,36279613,1.025,17.000,"6-2,0-1,0-0",1626573804
42,36279614,1.020,19.000,"6-2,0-1,15-0",1626573851
41,36279615,1.025,17.000,"6-2,0-1,15-15",1626573869
40,36279616,1.020,19.000,"6-2,0-1,30-15",1626573893
39,36279617,1.030,15.000,"6-2,0-1,30-30",1626573924
37,36279620,1.025,17.000,"6-2,0-1,40-30",1626573972
36,36279621,1.020,19.000,"6-2,1-1,0-0",1626573999
35,36279624,1.025,17.000,"6-2,1-1,0-15",1626574037
34,36279626,1.030,15.000,"6-2,1-1,0-30",1626574059
33,36279628,1.025,17.000,"6-2,1-1,15-30",1626574086
32,36279631,1.015,21.000,"6-2,1-1,30-30",1626574117
28,36279640,-,-,"6-2,1-1,40-30",1626574202
27,36279641,1.004,41.000,"6-2,2-1,0-0",1626574208
158,302389209,1.030,15.000,"6-2,2-1,15-0",1626574306
26,36279645,1.002,51.000,"6-2,2-1,30-0",1626574339
25,36279650,1.001,67.000,"6-2,3-1,0-0",1626574427
152,302389215,1.012,23.000,"6-2,3-1,15-0",1626574467
151,302389216,1.020,19.000,"6-2,3-1,15-15",1626574469
23,36279654,-,-,"6-2,3-1,30-15",1626574505
21,36279656,-,-,"6-2,3-1,30-30",1626574539
19,36279658,-,-,"6-2,3-1,40-30",1626574569
12,36279670,-,-,"6-2,3-1,40-40",1626574682
8,36279675,-,-,"6-2,3-1,A-40",1626574707
6,36279688,-,-,"6-2,4-1,0-0",1626574815
132,302389241,1.001,67.000,"6-2,4-1,15-0",1626574817
131,302389243,1.001,101.000,"6-2,4-1,30-0",1626574836
128,302389250,-,-,"6-2,5-1,15-15",1626574960
126,302389253,-,-,"6-2,5-1,30-15",1626574981
124,302389256,-,-,"6-2,5-1,30-30",1626575003
122,302389259,-,-,"6-2,5-1,40-30",1626575024
116,302389266,-,-,"6-2,5-1,A-40",1626575072
114,302389269,-,-,"6-2,5-1,40-40",1626575119
113,302389270,1.001,101.000,"6-2,5-1,40-A",1626575122
108,302389277,-,-,"6-2,5-2,0-0",1626575262
2,36279723,-,-,"6-2,5-2,0-15",1626575286
1,36279725,1.001,101.000,"6-2,5-2,0-30",1626575292
104,302389283,1.006,29.000,"6-2,5-2,0-40",1626575342
102,302389287,1.006,29.000,"6-2,5-2,15-40",1626575403
0,36279731,-,-,"6-2,5-2,30-40",1626575429
98,302389294,-,-,"6-2,5-2,40-40",1626575455
94,302389299,-,-,"6-2,5-2,A-40",1626575487
