,id,home_od,away_od,ss,add_time
447,303219498,1.909,1.909,"0-0,0-0",1628549493
203,37066191,1.800,2.000,"0-0,15-0",1628549808
202,37066193,1.727,2.100,"0-0,30-0",1628549823
201,37066196,1.666,2.200,"0-0,40-0",1628549843
200,37066203,1.615,2.300,"1-0,0-0",1628549945
199,37066204,1.533,2.500,"1-0,15-0",1628549963
198,37066207,1.615,2.300,"1-0,15-15",1628549989
197,37066210,1.666,2.200,"1-0,15-30",1628550014
196,37066213,1.571,2.375,"1-0,30-30",1628550042
195,37066220,1.444,2.750,"1-0,40-30",1628550085
193,37066235,1.363,3.200,"2-0,0-0",1628550160
192,37066238,1.400,3.000,"2-0,0-15",1628550171
191,37066243,1.363,3.200,"2-0,15-15",1628550204
190,37066246,1.444,2.750,"2-0,15-30",1628550240
189,37066247,1.400,3.000,"2-0,30-30",1628550258
188,37066250,1.333,3.400,"2-0,40-30",1628550286
187,37066256,1.400,3.000,"2-0,40-40",1628550328
186,37066258,1.363,3.200,"2-0,A-40",1628550371
185,37066260,1.300,3.500,"3-0,0-0",1628550400
183,37066277,1.250,4.000,"3-0,15-0",1628550548
182,37066279,1.222,4.333,"3-0,30-0",1628550556
181,37066285,1.200,4.500,"3-0,40-0",1628550594
179,37066298,1.200,4.500,"3-0,40-15",1628550651
178,37066299,1.250,4.000,"3-0,40-30",1628550653
176,37066312,1.222,4.333,"3-0,A-40",1628550713
169,37066352,1.363,3.200,"3-0,40-40",1628550888
168,37066363,1.400,3.000,"3-0,40-A",1628550924
401,303219717,1.166,5.000,"3-1,0-0",1628550959
167,37066381,1.500,2.625,"3-1,0-15",1628550993
166,37066385,1.444,2.750,"3-1,15-15",1628551015
165,37066393,1.400,3.000,"3-1,30-15",1628551045
164,37066397,1.363,3.200,"3-1,40-15",1628551062
163,37066402,1.333,3.400,"4-1,0-0",1628551084
394,303219771,1.100,7.000,"4-1,0-15",1628551205
162,37066426,1.300,3.500,"4-1,15-15",1628551229
161,37066429,1.333,3.400,"4-1,15-30",1628551255
160,37066433,1.300,3.500,"4-1,30-30",1628551285
159,37066436,1.333,3.400,"4-1,30-40",1628551315
158,37066441,1.363,3.200,"4-2,0-0",1628551364
157,37066443,1.400,3.000,"4-2,0-15",1628551381
156,37066451,1.363,3.200,"4-2,15-15",1628551408
155,37066458,1.333,3.400,"4-2,30-15",1628551444
154,37066466,1.285,3.750,"4-2,40-15",1628551477
153,37066471,1.250,4.000,"5-2,0-0",1628551510
152,37066499,1.285,3.750,"5-2,0-15",1628551635
151,37066504,1.250,4.000,"5-2,15-15",1628551666
150,37066507,1.285,3.750,"5-2,15-30",1628551685
147,37066524,1.300,3.500,"5-3,0-0",1628551783
146,37066526,1.285,3.750,"5-3,15-0",1628551786
145,37066530,1.250,4.000,"5-3,30-0",1628551801
144,37066533,1.222,4.333,"5-3,40-0",1628551822
143,37066537,1.250,4.000,"5-3,40-15",1628551853
142,37066544,1.222,4.333,"6-3,0-0,0-0",1628551889
141,37066566,1.166,5.000,"6-3,0-0,15-0",1628552044
140,37066574,1.200,4.500,"6-3,0-0,15-15",1628552073
138,37066586,1.222,4.333,"6-3,0-0,15-30",1628552124
137,37066589,1.200,4.500,"6-3,0-0,30-30",1628552138
135,37066598,-,-,"6-3,0-0,40-30",1628552189
133,37066609,1.222,4.333,"6-3,0-0,40-A",1628552220
132,37066618,1.200,4.500,"6-3,0-0,40-40",1628552240
130,37066632,-,-,"6-3,0-0,A-40",1628552294
129,37066636,1.071,9.000,"6-3,1-0,0-0",1628552306
128,37066650,1.062,10.000,"6-3,1-0,15-0",1628552397
127,37066656,1.050,11.000,"6-3,1-0,30-0",1628552413
126,37066667,1.040,13.000,"6-3,2-0,0-0",1628552474
125,37066675,1.050,11.000,"6-3,2-0,0-15",1628552515
124,37066682,1.040,13.000,"6-3,2-0,15-15",1628552537
123,37066693,1.050,11.000,"6-3,2-0,15-30",1628552577
339,303220036,1.142,5.500,"6-3,2-0,15-40",1628552604
338,303220063,1.125,6.000,"6-3,2-1,15-0",1628552751
122,37066732,1.040,13.000,"6-3,2-1,30-0",1628552771
120,37066738,1.071,9.000,"6-3,2-1,30-15",1628552823
117,37066754,1.062,10.000,"6-3,2-1,40-15",1628552875
116,37066755,1.050,11.000,"6-3,3-1,0-0",1628552878
115,37066762,1.040,13.000,"6-3,3-1,15-0",1628552913
112,37066777,1.020,19.000,"6-3,3-1,30-0",1628552966
110,37066785,-,-,"6-3,3-1,30-15",1628552998
109,37066787,1.030,15.000,"6-3,3-1,30-30",1628553004
105,37066803,-,-,"6-3,3-1,40-30",1628553075
104,37066805,1.030,15.000,"6-3,3-1,40-40",1628553084
103,37066815,1.040,13.000,"6-3,3-1,40-A",1628553131
101,37066844,1.062,10.000,"6-3,3-2,0-0",1628553282
100,37066849,1.071,9.000,"6-3,3-2,0-15",1628553302
99,37066854,1.062,10.000,"6-3,3-2,15-15",1628553334
97,37066866,1.100,7.000,"6-3,3-2,15-30",1628553385
95,37066875,1.071,9.000,"6-3,3-2,30-30",1628553424
93,37066880,1.125,6.000,"6-3,3-2,30-40",1628553461
92,37066882,1.200,4.500,"6-3,3-3,0-0",1628553475
91,37066889,1.166,5.000,"6-3,3-3,15-0",1628553542
