,id,home_od,away_od,ss,add_time
457,303164099,2.100,1.666,"0-0,0-0",1628356115
206,37012981,2.375,1.533,"0-0,0-15",1628356124
205,37013005,2.500,1.500,"0-0,0-30",1628356149
204,37013029,2.625,1.444,"0-0,0-40",1628356182
202,37013059,3.250,1.333,"0-1,0-0",1628356223
201,37013087,3.000,1.363,"0-1,15-0",1628356261
200,37013098,3.250,1.333,"0-1,15-15",1628356274
199,37013123,3.000,1.363,"0-1,30-15",1628356310
198,37013134,2.750,1.400,"0-1,40-15",1628356321
196,37013199,2.750,1.400,"1-1,0-15",1628356406
195,37013203,3.000,1.363,"1-1,0-30",1628356418
194,37013222,2.750,1.400,"1-1,15-30",1628356453
193,37013233,3.000,1.363,"1-1,15-40",1628356480
192,37013255,2.750,1.400,"1-1,30-40",1628356513
190,37013296,2.375,1.533,"1-1,40-40",1628356575
189,37013303,2.200,1.615,"1-1,A-40",1628356583
188,37013321,1.909,1.909,"2-1,0-0",1628356624
187,37013374,2.000,1.750,"2-1,0-15",1628356729
184,37013432,2.050,1.700,"2-1,15-30",1628356837
183,37013438,1.950,1.800,"2-1,30-30",1628356850
182,37013446,1.800,1.950,"2-1,40-30",1628356868
178,37013505,1.909,1.909,"2-1,A-40",1628356965
174,37013582,2.050,1.700,"2-1,40-40",1628357080
173,37013603,2.200,1.615,"2-1,40-A",1628357113
172,37013624,2.750,1.400,"2-2,0-0",1628357144
417,303164596,2.500,1.500,"2-2,0-15",1628357193
171,37013658,2.625,1.444,"2-2,15-15",1628357209
170,37013668,2.750,1.400,"2-2,15-30",1628357229
169,37013693,2.500,1.500,"2-2,30-30",1628357266
168,37013708,2.750,1.400,"2-2,30-40",1628357301
167,37013720,3.000,1.363,"2-3,0-0",1628357330
166,37013787,2.750,1.400,"2-3,15-0",1628357445
165,37013806,3.000,1.363,"2-3,15-15",1628357480
164,37013818,2.750,1.400,"2-3,30-15",1628357496
163,37013835,2.625,1.444,"2-3,40-15",1628357534
162,37013852,2.750,1.400,"2-3,40-30",1628357561
161,37013862,2.625,1.444,"3-3,0-0",1628357585
160,37013894,2.750,1.400,"3-3,0-15",1628357644
159,37013907,3.000,1.363,"3-3,0-30",1628357669
158,37013945,2.750,1.400,"3-3,15-30",1628357726
156,37013974,2.375,1.533,"3-3,30-30",1628357783
154,37013999,2.050,1.700,"3-3,40-30",1628357828
152,37014029,2.375,1.533,"3-3,40-40",1628357881
151,37014036,2.625,1.444,"3-3,40-A",1628357891
150,37014048,2.750,1.400,"3-4,0-0",1628357914
149,37014101,3.400,1.300,"3-4,0-15",1628358006
148,37014115,3.000,1.363,"3-4,15-15",1628358023
146,37014138,2.750,1.400,"3-4,30-15",1628358062
145,37014142,3.000,1.363,"3-4,30-30",1628358065
143,37014180,2.750,1.400,"3-4,40-30",1628358113
141,37014203,3.750,1.250,"3-4,40-A",1628358151
140,37014225,3.250,1.333,"3-4,40-40",1628358180
139,37014274,2.750,1.400,"3-4,A-40",1628358238
138,37014300,2.625,1.444,"4-4,0-0",1628358274
137,37014351,2.750,1.400,"4-4,0-15",1628358331
136,37014361,2.500,1.500,"4-4,15-15",1628358347
134,37014397,2.100,1.666,"4-4,30-15",1628358415
132,37014452,2.375,1.533,"4-4,30-30",1628358497
130,37014472,2.000,1.750,"4-4,40-30",1628358538
123,37014564,2.000,1.750,"4-4,A-40",1628358700
117,37014636,2.250,1.571,"4-4,40-40",1628358819
115,37014673,2.500,1.500,"4-4,40-A",1628358874
114,37014680,2.750,1.400,"4-5,0-0",1628358884
113,37014737,3.250,1.333,"4-5,0-15",1628358995
112,37014748,2.750,1.400,"4-5,15-15",1628359017
111,37014765,2.625,1.444,"4-5,30-15",1628359053
110,37014778,2.375,1.533,"4-5,40-15",1628359071
109,37014790,2.250,1.571,"5-5,0-0",1628359097
108,37014805,2.500,1.500,"5-5,0-15",1628359133
107,37014824,2.625,1.444,"5-5,0-30",1628359160
106,37014834,2.750,1.400,"5-5,0-40",1628359180
328,303165553,2.750,1.400,"5-6,0-0",1628359307
105,37014894,2.625,1.444,"5-6,15-0",1628359321
104,37014924,2.750,1.400,"5-6,15-15",1628359363
103,37014942,2.625,1.444,"5-6,30-15",1628359407
102,37014950,2.500,1.500,"5-6,40-15",1628359427
101,37014958,2.375,1.533,"6-6,0-0",1628359446
100,37014977,2.625,1.444,"6-6,0-1",1628359497
99,37014985,2.375,1.533,"6-6,1-1",1628359533
98,37014998,3.000,1.363,"6-6,1-2",1628359547
96,37015028,2.250,1.571,"6-6,2-2",1628359619
94,37015048,2.750,1.400,"6-6,2-3",1628359661
92,37015095,2.500,1.500,"6-6,3-3",1628359749
91,37015096,3.000,1.363,"6-6,3-4",1628359752
89,37015133,2.200,1.615,"6-6,4-4",1628359820
88,37015135,1.909,1.909,"6-6,5-4",1628359827
87,37015162,2.250,1.571,"6-6,5-5",1628359879
84,37015206,3.500,1.285,"6-6,5-6",1628359959
83,37015207,5.000,1.166,"6-7,0-0,0-0",1628359961
82,37015321,5.500,1.142,"6-7,0-0,0-15",1628360185
81,37015330,5.000,1.166,"6-7,0-0,15-15",1628360206
80,37015340,4.500,1.181,"6-7,0-0,30-15",1628360231
79,37015356,4.000,1.222,"6-7,0-0,40-15",1628360261
289,303165969,2.000,1.750,"6-7,1-0,0-0",1628360290
78,37015397,4.333,1.200,"6-7,1-0,0-15",1628360341
77,37015414,4.500,1.181,"6-7,1-0,0-30",1628360361
75,37015454,4.000,1.222,"6-7,1-0,15-30",1628360432
74,37015463,3.750,1.250,"6-7,1-0,30-30",1628360448
70,37015520,4.333,1.200,"6-7,1-0,30-40",1628360540
68,37015538,3.400,1.300,"6-7,1-0,A-40",1628360576
67,37015557,3.750,1.250,"6-7,1-0,40-40",1628360606
66,37015584,4.333,1.200,"6-7,1-0,40-A",1628360645
65,37015603,4.500,1.181,"6-7,1-1,0-0",1628360675
64,37015619,4.333,1.200,"6-7,1-1,15-0",1628360708
63,37015637,4.000,1.222,"6-7,1-1,30-0",1628360742
62,37015650,4.333,1.200,"6-7,1-1,30-15",1628360767
61,37015665,5.000,1.166,"6-7,1-1,30-30",1628360799
60,37015681,6.500,1.111,"6-7,1-1,30-40",1628360830
59,37015696,10.000,1.062,"6-7,1-2,0-0",1628360873
58,37015757,8.000,1.083,"6-7,1-2,15-0",1628361007
57,37015782,9.000,1.071,"6-7,1-2,15-15",1628361052
56,37015795,7.000,1.100,"6-7,1-2,30-15",1628361083
55,37015811,5.500,1.142,"6-7,1-2,40-15",1628361117
54,37015835,6.500,1.111,"6-7,1-2,40-30",1628361161
53,37015855,9.000,1.071,"6-7,1-2,40-40",1628361209
52,37015884,11.000,1.050,"6-7,1-2,40-A",1628361260
49,37016064,13.000,1.040,"6-7,1-3,0-0",1628361700
48,37018739,11.000,1.050,"6-7,1-3,15-0",1628369574
44,37018751,11.000,1.050,"6-7,1-3,30-0",1628369609
43,37018756,10.000,1.062,"6-7,1-3,40-0",1628369620
42,37018782,9.000,1.071,"6-7,2-3,0-0",1628369719
41,37018788,11.000,1.050,"6-7,2-3,0-15",1628369737
40,37018800,13.000,1.040,"6-7,2-3,0-30",1628369765
39,37018809,15.000,1.030,"6-7,2-3,0-40",1628369788
245,303169478,8.000,1.083,"6-7,2-4,0-0",1628369812
37,37018843,15.000,1.030,"6-7,2-4,15-0",1628369854
243,303169505,8.000,1.083,"6-7,2-4,15-15",1628369861
36,37018880,13.000,1.040,"6-7,2-4,40-15",1628369932
35,37018887,15.000,1.030,"6-7,2-4,40-30",1628369954
31,37018920,-,-,"6-7,2-4,40-A",1628370039
23,37018991,17.000,1.025,"6-7,2-4,40-40",1628370212
22,37019002,15.000,1.030,"6-7,2-4,A-40",1628370239
21,37019010,13.000,1.040,"6-7,3-4,0-0",1628370265
20,37019041,17.000,1.025,"6-7,3-4,0-15",1628370372
19,37019048,19.000,1.020,"6-7,3-4,0-30",1628370400
18,37019062,21.000,1.015,"6-7,3-4,0-40",1628370445
17,37019074,23.000,1.012,"6-7,3-5,0-0",1628370472
16,37019085,21.000,1.015,"6-7,3-5,15-0",1628370524
15,37019093,19.000,1.020,"6-7,3-5,40-0",1628370561
14,37019126,-,-,"6-7,4-5,0-0",1628370682
12,37019135,-,-,"6-7,4-5,0-15",1628370706
10,37019150,-,-,"6-7,4-5,0-30",1628370737
6,37019173,-,-,"6-7,4-5,0-40",1628370777
4,37019183,-,-,"6-7,4-5,15-40",1628370814
