,id,home_od,away_od,ss,add_time
220,44252535,3.200,1.363,"0-0,0-0",1649686667
218,44253270,3.000,1.400,"0-0,15-0",1649687402
217,44253289,2.750,1.444,"0-0,30-0",1649687420
216,44253329,3.000,1.400,"0-0,30-15",1649687463
215,44253374,3.400,1.333,"0-0,30-30",1649687505
214,44253415,3.000,1.400,"0-0,40-30",1649687548
213,44253440,2.750,1.444,"1-0,0-0",1649687572
212,44253492,3.000,1.400,"1-0,0-15",1649687629
211,44253524,2.625,1.500,"1-0,15-15",1649687661
210,44253572,2.750,1.444,"1-0,15-30",1649687704
209,44253614,2.625,1.500,"1-0,30-30",1649687740
208,44253649,2.300,1.615,"1-0,40-30",1649687777
205,44253760,2.500,1.533,"1-0,40-40",1649687891
204,44253795,2.625,1.500,"1-0,40-A",1649687925
203,44253826,2.750,1.444,"1-1,0-0",1649687958
202,44253863,2.625,1.500,"1-1,15-0",1649687996
201,44253885,3.000,1.400,"1-1,15-15",1649688019
200,44253908,2.750,1.444,"1-1,30-15",1649688047
199,44253952,2.625,1.500,"1-1,40-15",1649688099
198,44253972,2.500,1.533,"2-1,0-0",1649688129
197,44254074,2.625,1.500,"2-1,0-15",1649688254
196,44254095,2.750,1.444,"2-1,0-30",1649688280
195,44254124,2.500,1.533,"2-1,15-30",1649688313
194,44254146,2.625,1.500,"2-1,15-40",1649688342
191,44254196,3.200,1.363,"2-2,0-0",1649688404
189,44254235,3.500,1.300,"2-2,0-15",1649688458
188,44254264,3.200,1.363,"2-2,15-15",1649688493
187,44254303,3.000,1.400,"2-2,30-15",1649688559
186,44254337,2.750,1.444,"2-2,40-15",1649688600
183,44254382,2.625,1.500,"3-2,0-0",1649688672
182,44254468,2.375,1.571,"3-2,15-0",1649688783
180,44254527,2.100,1.727,"3-2,30-0",1649688843
179,44254537,2.300,1.615,"3-2,30-15",1649688855
178,44254566,2.500,1.533,"3-2,30-30",1649688891
176,44254614,2.625,1.500,"3-2,30-40",1649688947
171,44254698,2.100,1.727,"3-2,A-40",1649689065
170,44254717,2.375,1.571,"3-2,40-40",1649689096
169,44254738,2.625,1.500,"3-2,40-A",1649689125
168,44254765,2.750,1.444,"3-3,0-0",1649689159
167,44254829,3.200,1.363,"3-3,0-15",1649689236
165,44254906,3.750,1.285,"3-3,0-30",1649689333
164,44254924,3.200,1.363,"3-3,15-30",1649689356
163,44254949,4.000,1.250,"3-3,15-40",1649689385
162,44254979,4.500,1.200,"3-4,0-0",1649689423
161,44255099,5.000,1.166,"3-4,0-15",1649689557
334,310816388,10.000,1.062,"3-4,0-30",1649689590
160,44255150,5.500,1.142,"3-4,0-40",1649689638
158,44255171,6.500,1.111,"3-5,0-0",1649689662
157,44255209,6.000,1.125,"3-5,15-0",1649689726
156,44255248,6.500,1.111,"3-5,15-15",1649689774
155,44255292,6.000,1.125,"3-5,30-15",1649689829
154,44255312,6.500,1.111,"3-5,30-30",1649689856
153,44255337,8.000,1.083,"3-5,30-40",1649689891
145,44255578,6.500,1.111,"3-5,A-40",1649690149
144,44255619,7.000,1.100,"3-5,40-40",1649690197
143,44255668,8.000,1.083,"3-5,40-A",1649690256
142,44255712,10.000,1.062,"3-6,0-0,0-0",1649690307
141,44255851,11.000,1.050,"3-6,0-0,0-15",1649690472
308,310817248,4.000,1.222,"3-6,0-0,0-30",1649690509
140,44255908,13.000,1.040,"3-6,0-0,0-40",1649690534
306,310817303,4.500,1.181,"3-6,0-1,0-0",1649690567
139,44255998,11.000,1.050,"3-6,0-1,15-0",1649690643
138,44256020,10.000,1.062,"3-6,0-1,30-0",1649690669
