,id,home_od,away_od,ss,add_time
166,57124692,1.909,1.909,"0-0,0-0",1680945019
165,57124787,1.950,1.800,"0-0,0-15",1680945110
164,57124806,1.909,1.909,"0-0,15-15",1680945133
163,57124847,1.950,1.800,"0-0,15-30",1680945176
162,57124915,2.000,1.750,"0-0,15-40",1680945250
160,57124994,2.100,1.666,"0-1,0-0",1680945345
159,57125009,2.000,1.750,"0-1,15-0",1680945360
158,57125022,2.100,1.666,"0-1,15-15",1680945375
157,57125059,2.250,1.571,"0-1,15-30",1680945415
155,57125147,3.000,1.363,"0-2,0-0",1680945513
154,57125170,2.625,1.444,"0-2,15-0",1680945539
153,57125216,2.750,1.400,"0-2,15-15",1680945592
152,57125244,2.625,1.444,"0-2,30-15",1680945633
151,57125269,2.750,1.400,"0-2,30-30",1680945660
148,57125436,2.500,1.500,"0-2,40-30",1680945837
147,57125456,2.200,1.615,"1-2,0-0",1680945866
146,57125522,2.050,1.700,"1-2,15-0",1680945937
145,57125547,2.200,1.615,"1-2,15-15",1680945969
143,57125616,2.050,1.700,"1-2,30-15",1680946055
142,57125628,2.250,1.571,"1-2,30-30",1680946074
141,57125630,2.050,1.700,"1-2,40-30",1680946076
138,57125718,2.200,1.615,"2-2,0-30",1680946197
137,57125723,2.250,1.571,"2-2,0-40",1680946205
136,57125733,2.200,1.615,"2-2,15-40",1680946223
133,57125820,2.100,1.666,"2-3,0-0",1680946347
132,57125854,2.250,1.571,"2-3,0-15",1680946392
131,57125880,2.625,1.444,"2-3,0-30",1680946449
130,57125894,2.750,1.400,"2-3,0-40",1680946468
129,57125915,2.625,1.444,"2-3,15-40",1680946501
126,57125992,2.500,1.500,"2-3,30-40",1680946596
125,57126006,3.000,1.363,"2-4,0-0",1680946610
120,57126104,2.750,1.400,"2-4,15-15",1680946703
118,57126119,3.000,1.363,"2-4,0-15",1680946718
117,57126125,2.500,1.500,"2-4,30-15",1680946727
116,57126130,2.750,1.400,"2-4,30-30",1680946733
115,57126163,2.375,1.533,"2-4,40-30",1680946775
111,57126282,2.375,1.533,"2-4,A-40",1680946914
108,57126328,2.625,1.444,"2-4,40-40",1680946960
107,57126337,3.000,1.363,"2-4,40-A",1680946968
106,57126353,3.250,1.333,"2-5,0-0",1680946993
105,57126552,3.400,1.300,"2-5,0-15",1680947209
104,57126566,3.500,1.285,"2-5,0-30",1680947223
103,57126597,3.400,1.300,"2-5,15-30",1680947255
102,57126684,3.500,1.285,"2-5,30-40",1680947342
101,57126688,3.750,1.250,"2-5,15-40",1680947347
100,57126701,3.400,1.300,"2-5,40-40",1680947360
99,57126746,3.500,1.285,"2-5,40-A",1680947410
98,57126758,4.000,1.222,"2-6,0-0,0-0",1680947435
97,57126865,4.333,1.200,"2-6,0-0,0-15",1680947605
96,57126890,4.000,1.222,"2-6,0-0,15-15",1680947639
95,57126894,4.333,1.200,"2-6,0-0,15-30",1680947648
93,57126988,5.500,1.142,"2-6,0-1,0-0",1680947776
92,57127025,4.333,1.200,"2-6,0-1,15-0",1680947814
90,57127049,4.333,1.200,"2-6,0-1,30-15",1680947852
89,57127052,4.000,1.222,"2-6,0-1,30-0",1680947854
88,57127115,5.000,1.166,"2-6,0-1,30-30",1680947946
87,57127127,7.000,1.100,"2-6,0-1,30-40",1680947958
86,57127151,9.000,1.071,"2-6,0-2,0-0",1680947976
85,57127188,8.000,1.083,"2-6,0-2,15-0",1680948034
84,57127277,6.500,1.111,"2-6,0-2,30-0",1680948145
83,57127323,7.000,1.100,"2-6,0-2,30-15",1680948198
80,57127401,6.500,1.111,"2-6,0-2,40-30",1680948277
79,57127409,5.500,1.142,"2-6,1-2,0-0",1680948289
78,57127526,4.500,1.181,"2-6,1-2,15-0",1680948425
75,57127600,4.333,1.200,"2-6,1-2,30-0",1680948511
73,57127613,3.750,1.250,"2-6,2-2,0-0",1680948530
72,57127643,4.000,1.222,"2-6,1-2,40-0",1680948565
69,57127677,3.250,1.333,"2-6,2-2,15-0",1680948608
67,57127704,3.500,1.285,"2-6,2-2,15-15",1680948637
66,57127739,3.250,1.333,"2-6,2-2,30-15",1680948679
65,57127755,3.000,1.363,"2-6,2-2,40-30",1680948704
58,57127925,2.750,1.400,"2-6,2-2,A-40",1680948915
57,57127970,3.750,1.250,"2-6,2-2,40-A",1680948970
54,57128001,3.400,1.300,"2-6,2-2,40-40",1680948990
53,57128004,4.333,1.200,"2-6,2-3,0-0",1680948993
52,57128141,5.500,1.142,"2-6,2-3,0-15",1680949138
50,57128222,6.500,1.111,"2-6,2-3,0-30",1680949229
48,57128229,9.000,1.071,"2-6,2-3,0-40",1680949238
47,57128245,8.000,1.083,"2-6,2-3,15-40",1680949252
44,57128289,6.000,1.125,"2-6,2-3,30-40",1680949292
43,57128293,4.500,1.181,"2-6,2-3,40-40",1680949297
42,57128334,4.000,1.222,"2-6,2-3,A-40",1680949339
40,57128366,3.500,1.285,"2-6,3-3,0-0",1680949385
39,57128393,3.250,1.333,"2-6,3-3,15-0",1680949418
38,57128418,3.500,1.285,"2-6,3-3,15-15",1680949443
35,57128495,4.000,1.222,"2-6,3-3,15-30",1680949529
34,57128512,3.500,1.285,"2-6,3-3,30-30",1680949539
33,57128523,4.000,1.222,"2-6,3-3,30-40",1680949551
32,57128564,5.000,1.166,"2-6,3-4,0-0",1680949590
31,57128683,4.000,1.222,"2-6,3-4,15-0",1680949714
30,57128725,5.000,1.166,"2-6,3-4,15-15",1680949760
27,57128803,4.000,1.222,"2-6,3-4,30-15",1680949867
26,57128807,3.750,1.250,"2-6,3-4,40-15",1680949868
23,57128869,4.000,1.222,"2-6,3-4,40-30",1680949944
19,57128928,3.500,1.285,"2-6,4-4,0-0",1680950022
18,57128937,4.000,1.222,"2-6,4-4,0-15",1680950032
15,57128994,4.500,1.181,"2-6,4-4,0-30",1680950086
14,57128995,4.000,1.222,"2-6,4-4,15-30",1680950087
11,57129044,4.500,1.181,"2-6,4-4,15-40",1680950144
10,57129045,4.333,1.200,"2-6,4-4,30-40",1680950147
7,57129156,5.000,1.166,"2-6,4-5,0-0",1680950294
6,57129179,4.333,1.200,"2-6,4-5,15-0",1680950321
5,57129200,3.750,1.250,"2-6,4-5,30-0",1680950343
4,57129244,4.333,1.200,"2-6,4-5,30-15",1680950393
1,57129309,5.500,1.142,"2-6,4-5,30-30",1680950464
0,57129329,-,-,"2-6,4-5,30-40",1680950492
