,id,home_od,away_od,ss,add_time
334,310285090,2.250,1.571,"0-0,0-0",1648243136
188,43741997,2.750,1.444,"0-0,0-15",1648243599
187,43742014,3.000,1.400,"0-0,0-30",1648243656
331,310285223,2.750,1.400,"0-0,0-40",1648243705
186,43742030,3.200,1.363,"0-1,0-0",1648243734
185,43742050,3.000,1.400,"0-1,15-0",1648243809
184,43742056,2.750,1.444,"0-1,30-0",1648243832
182,43742066,3.200,1.363,"0-1,30-15",1648243881
181,43742068,2.750,1.444,"0-1,40-15",1648243899
325,310285279,2.375,1.533,"1-1,0-0",1648243931
180,43742083,3.000,1.400,"1-1,0-15",1648243970
323,310285295,2.625,1.444,"1-1,0-30",1648244012
179,43742100,3.200,1.363,"1-1,0-40",1648244045
178,43742109,3.400,1.333,"1-2,0-0",1648244083
177,43742141,3.200,1.363,"1-2,15-0",1648244206
176,43742149,3.000,1.400,"1-2,30-0",1648244236
175,43742160,3.200,1.363,"1-2,30-15",1648244260
174,43742177,3.500,1.300,"1-2,30-30",1648244307
173,43742189,3.200,1.363,"1-2,40-30",1648244340
172,43742202,3.000,1.400,"2-2,0-0",1648244369
171,43742215,3.200,1.363,"2-2,0-15",1648244409
170,43742229,3.400,1.333,"2-2,0-30",1648244439
169,43742239,3.500,1.300,"2-2,0-40",1648244465
168,43742250,3.400,1.333,"2-2,15-40",1648244501
167,43742303,3.200,1.363,"2-3,15-0",1648244656
166,43742311,3.000,1.400,"2-3,30-0",1648244681
165,43742335,2.750,1.444,"2-3,40-0",1648244744
164,43742347,3.000,1.400,"2-3,40-15",1648244773
307,310285615,2.375,1.533,"3-3,0-0",1648244840
163,43742382,3.200,1.363,"3-3,0-15",1648244881
162,43742392,2.750,1.444,"3-3,15-15",1648244910
161,43742409,3.000,1.400,"3-3,15-30",1648244946
160,43742420,3.200,1.363,"3-3,15-40",1648244978
159,43742443,3.000,1.400,"3-3,30-40",1648245037
158,43742458,3.200,1.363,"3-4,0-0",1648245077
157,43742509,3.000,1.400,"3-4,15-0",1648245214
156,43742522,3.200,1.363,"3-4,15-15",1648245248
155,43742533,3.000,1.400,"3-4,30-15",1648245278
154,43742555,3.400,1.333,"3-4,30-30",1648245337
153,43742570,4.000,1.250,"3-4,30-40",1648245379
151,43742602,5.500,1.142,"3-5,0-0",1648245455
150,43742608,6.500,1.111,"3-5,0-15",1648245474
149,43742618,7.000,1.100,"3-5,0-30",1648245513
289,310285918,-,-,"3-5,0-40",1648245569
148,43742640,8.000,1.083,"3-6,0-0,0-0",1648245572
147,43742684,7.000,1.100,"3-6,0-0,15-0",1648245728
146,43742699,6.500,1.111,"3-6,0-0,30-0",1648245762
145,43742715,7.000,1.100,"3-6,0-0,30-15",1648245803
144,43742727,6.500,1.111,"3-6,0-0,40-15",1648245838
143,43742746,6.000,1.125,"3-6,1-0,0-0",1648245875
141,43742788,5.000,1.166,"3-6,1-0,15-0",1648245979
140,43742793,4.500,1.200,"3-6,1-0,30-0",1648245991
139,43742818,3.750,1.285,"3-6,1-0,40-0",1648246064
138,43742836,3.400,1.333,"3-6,2-0,0-0",1648246104
137,43742850,3.200,1.363,"3-6,2-0,15-0",1648246144
136,43742858,3.400,1.333,"3-6,2-0,15-15",1648246163
135,43742877,3.200,1.363,"3-6,2-0,30-15",1648246213
134,43742890,3.000,1.400,"3-6,2-0,40-15",1648246258
133,43742902,3.200,1.363,"3-6,2-0,40-30",1648246289
130,43742929,4.333,1.222,"3-6,2-0,40-A",1648246365
129,43742941,3.750,1.285,"3-6,2-0,40-40",1648246403
128,43742950,3.400,1.333,"3-6,2-0,A-40",1648246430
127,43742970,2.750,1.444,"3-6,3-0,0-0",1648246486
126,43743003,2.625,1.500,"3-6,3-0,15-0",1648246581
125,43743009,2.750,1.444,"3-6,3-0,15-15",1648246608
123,43743038,2.750,1.444,"3-6,3-0,15-30",1648246678
122,43743046,2.625,1.500,"3-6,3-0,30-30",1648246693
121,43743054,2.750,1.444,"3-6,3-0,30-40",1648246718
120,43743066,3.000,1.400,"3-6,3-1,0-0",1648246751
119,43743074,3.200,1.363,"3-6,3-1,0-15",1648246797
118,43743080,3.750,1.285,"3-6,3-1,0-30",1648246825
117,43743100,3.400,1.333,"3-6,3-1,15-30",1648246901
116,43743113,4.000,1.250,"3-6,3-1,15-40",1648246946
115,43743128,3.500,1.300,"3-6,3-1,30-40",1648247002
114,43743139,4.500,1.200,"3-6,3-2,0-0",1648247039
113,43743180,5.000,1.166,"3-6,3-2,0-15",1648247173
112,43743192,5.500,1.142,"3-6,3-2,0-30",1648247210
248,310286522,2.500,1.500,"3-6,3-2,0-40",1648247261
111,43743216,6.000,1.125,"3-6,3-3,0-0",1648247325
110,43743220,5.000,1.166,"3-6,3-3,15-0",1648247337
245,310286561,2.100,1.666,"3-6,3-3,30-0",1648247377
109,43743241,5.500,1.142,"3-6,3-3,30-15",1648247418
108,43743254,5.000,1.166,"3-6,3-3,40-15",1648247464
107,43743264,5.500,1.142,"3-6,3-3,40-30",1648247504
106,43743271,5.000,1.166,"3-6,4-3,0-0",1648247546
104,43743313,5.000,1.166,"3-6,4-3,0-15",1648247695
103,43743319,5.500,1.142,"3-6,4-3,0-30",1648247705
102,43743325,6.000,1.125,"3-6,4-3,0-40",1648247733
101,43743350,5.500,1.142,"3-6,4-4,15-0",1648247815
100,43743355,5.000,1.166,"3-6,4-4,30-0",1648247836
233,310286733,2.050,1.700,"3-6,4-4,40-0",1648247867
99,43743386,5.500,1.142,"3-6,4-4,40-15",1648247924
98,43743402,6.000,1.125,"3-6,4-4,40-30",1648247979
97,43743418,10.000,1.062,"3-6,4-4,40-A",1648248045
96,43743430,7.000,1.100,"3-6,4-4,40-40",1648248081
95,43743447,6.000,1.125,"3-6,4-4,A-40",1648248112
94,43743458,5.500,1.142,"3-6,5-4,0-0",1648248140
92,43743502,5.500,1.142,"3-6,5-4,0-15",1648248296
91,43743506,5.000,1.166,"3-6,5-4,15-15",1648248309
90,43743515,5.500,1.142,"3-6,5-4,15-30",1648248350
89,43743524,6.000,1.125,"3-6,5-4,15-40",1648248390
88,43743530,6.500,1.111,"3-6,5-5,0-0",1648248428
87,43743541,6.000,1.125,"3-6,5-5,15-0",1648248468
86,43743549,7.000,1.100,"3-6,5-5,15-15",1648248490
85,43743566,6.000,1.125,"3-6,5-5,30-15",1648248546
84,43743577,5.500,1.142,"3-6,5-5,40-15",1648248582
83,43743594,6.000,1.125,"3-6,5-5,40-30",1648248642
82,43743604,5.500,1.142,"3-6,6-5,0-0",1648248666
81,43743640,6.000,1.125,"3-6,6-5,0-15",1648248788
80,43743650,5.000,1.166,"3-6,6-5,15-15",1648248829
79,43743655,6.000,1.125,"3-6,6-5,15-30",1648248865
78,43743669,6.500,1.111,"3-6,6-5,15-40",1648248894
206,310287049,2.375,1.533,"3-6,6-6,0-0",1648248918
77,43743694,5.500,1.142,"3-6,6-6,1-0",1648248962
75,43743722,6.000,1.125,"3-6,6-6,1-1",1648249037
74,43743730,8.000,1.083,"3-6,6-6,1-2",1648249062
73,43743743,6.500,1.111,"3-6,6-6,2-2",1648249104
72,43743750,5.500,1.142,"3-6,6-6,3-2",1648249128
71,43743766,6.500,1.111,"3-6,6-6,3-3",1648249170
70,43743789,4.333,1.222,"3-6,6-6,4-3",1648249283
69,43743799,3.750,1.285,"3-6,6-6,5-3",1648249319
67,43743823,4.500,1.200,"3-6,6-6,5-4",1648249377
66,43743832,3.400,1.333,"3-6,6-6,6-4",1648249392
65,43743852,3.750,1.285,"3-6,6-6,6-5",1648249439
63,43743975,2.750,1.444,"3-6,7-6,0-0,0-0",1648249857
62,43743979,3.200,1.363,"3-6,7-6,0-0,0-15",1648249872
61,43743996,3.400,1.333,"3-6,7-6,0-0,0-30",1648249927
60,43744025,3.000,1.400,"3-6,7-6,0-0,30-40",1648250034
59,43744035,2.625,1.500,"3-6,7-6,0-0,40-40",1648250079
58,43744040,3.000,1.400,"3-6,7-6,0-0,40-A",1648250109
57,43744053,3.200,1.363,"3-6,7-6,0-1,0-0",1648250168
56,43744069,3.750,1.285,"3-6,7-6,0-1,0-15",1648250241
55,43744078,4.500,1.200,"3-6,7-6,0-1,0-30",1648250287
54,43744089,4.000,1.250,"3-6,7-6,0-1,15-30",1648250330
52,43744103,5.500,1.142,"3-6,7-6,0-1,15-40",1648250393
51,43744108,8.000,1.083,"3-6,7-6,0-2,0-0",1648250410
50,43744123,6.500,1.111,"3-6,7-6,0-2,15-0",1648250465
48,43744143,7.000,1.100,"3-6,7-6,0-2,15-15",1648250528
47,43744151,6.000,1.125,"3-6,7-6,0-2,30-15",1648250555
46,43744164,7.000,1.100,"3-6,7-6,0-2,30-30",1648250600
44,43744181,4.500,1.200,"3-6,7-6,0-2,40-30",1648250667
42,43744241,3.400,1.333,"3-6,7-6,1-2,0-0",1648250856
41,43744244,3.000,1.400,"3-6,7-6,1-2,15-0",1648250869
40,43744250,2.750,1.444,"3-6,7-6,1-2,30-0",1648250889
39,43744268,3.000,1.400,"3-6,7-6,1-2,30-15",1648250932
38,43744278,2.750,1.444,"3-6,7-6,1-2,40-15",1648250973
36,43744299,2.500,1.533,"3-6,7-6,2-2,0-0",1648251042
35,43744302,2.750,1.444,"3-6,7-6,2-2,0-15",1648251054
34,43744310,3.000,1.400,"3-6,7-6,2-2,0-30",1648251082
31,43744349,3.200,1.363,"3-6,7-6,2-3,0-0",1648251258
30,43744352,3.500,1.300,"3-6,7-6,2-3,0-15",1648251268
29,43744358,3.200,1.363,"3-6,7-6,2-3,15-15",1648251290
28,43744365,2.750,1.444,"3-6,7-6,2-3,30-15",1648251316
27,43744377,2.625,1.500,"3-6,7-6,2-3,40-15",1648251353
