,id,home_od,away_od,ss,add_time
195,79076879,6.500,1.111,"0-0,0-0",1711469443
194,79076885,9.000,1.071,"0-0,0-15",1711469445
192,79076918,7.000,1.100,"0-0,15-15",1711469463
189,79077077,6.500,1.111,"0-0,30-15",1711469551
188,79077083,6.000,1.125,"0-0,40-15",1711469554
187,79077092,6.500,1.111,"0-0,40-30",1711469558
179,79077319,5.500,1.142,"1-0,0-0",1711469686
178,79077340,6.000,1.125,"1-0,0-15",1711469697
175,79077428,5.500,1.142,"1-0,15-15",1711469737
407,345529081,3.400,1.333,"1-0,30-30",1711469755
172,79077530,5.000,1.166,"1-0,30-15",1711469783
171,79077552,5.500,1.142,"1-0,30-40",1711469789
170,79077598,6.000,1.125,"1-1,0-0",1711469821
169,79077668,6.500,1.111,"1-1,0-15",1711469869
168,79077706,7.000,1.100,"1-1,0-30",1711469898
166,79077824,7.000,1.100,"1-1,15-30",1711469959
163,79077949,6.000,1.125,"1-1,30-30",1711470005
162,79077953,7.000,1.100,"1-1,30-40",1711470006
148,79078434,5.500,1.142,"1-1,A-40",1711470353
147,79078514,6.500,1.111,"1-1,40-40",1711470391
143,79078719,8.000,1.083,"1-1,40-A",1711470538
137,79078835,8.000,1.083,"1-2,0-0",1711470602
136,79078883,7.000,1.100,"1-2,15-0",1711470641
135,79078907,8.000,1.083,"1-2,15-15",1711470673
131,79078963,7.000,1.100,"1-2,30-15",1711470729
130,79079026,8.000,1.083,"1-2,30-30",1711470769
127,79079126,6.500,1.111,"1-2,40-30",1711470852
126,79079137,5.000,1.166,"2-2,0-0",1711470859
356,345530693,3.400,1.333,"2-2,15-0",1711470866
125,79079183,4.500,1.200,"2-2,30-0",1711470900
122,79079279,4.333,1.222,"2-2,40-0",1711470977
119,79079460,4.500,1.200,"3-2,0-0",1711471099
118,79079463,5.000,1.166,"3-2,0-15",1711471101
350,345531078,3.400,1.333,"3-2,0-30",1711471160
346,345531104,3.000,1.400,"3-2,15-30",1711471186
117,79079559,4.500,1.200,"3-2,30-30",1711471201
116,79079580,5.000,1.166,"3-2,30-40",1711471226
341,345531233,3.400,1.333,"3-3,0-0",1711471296
115,79079794,4.500,1.200,"3-3,30-0",1711471355
114,79079813,5.000,1.166,"3-3,15-0",1711471366
113,79079825,4.333,1.222,"3-3,40-0",1711471376
