PtWinner,Score,Odds1,Odds2
1,"6-3,3-6,2-2,40-40",2/9,10/3
1,"6-3,3-6,2-2,A-40",1/5,7/2
1,"6-3,3-6,3-2,0-0",1/5,7/2
2,"6-3,3-6,3-2,15-0",2/9,10/3
2,"6-3,3-6,3-2,15-15",1/4,3/1
1,"6-3,3-6,3-2,15-30",1/4,3/1
2,"6-3,3-6,3-2,30-30",1/4,3/1
2,"6-3,3-6,3-2,30-40",2/7,11/4
1,"6-3,3-6,3-3,0-0",1/3,12/5
1,"6-3,3-6,3-3,15-0",1/3,12/5
1,"6-3,3-6,3-3,30-0",3/10,5/2
2,"6-3,3-6,3-3,40-0",2/9,10/3
1,"6-3,3-6,3-3,40-15",1/4,3/1
2,"6-3,3-6,4-3,0-0",1/4,3/1
1,"6-3,3-6,4-3,0-15",2/7,11/4
1,"6-3,3-6,4-3,15-15",2/9,10/3
2,"6-3,3-6,4-3,30-15",1/6,4/1
2,"6-3,3-6,4-3,30-30",2/9,10/3
1,"6-3,3-6,4-3,30-40",1/4,3/1
2,"6-3,3-6,4-3,40-40",2/9,10/3
1,"6-3,3-6,4-3,40-A",1/4,3/1
2,"6-3,3-6,4-3,40-40",2/9,10/3
1,"6-3,3-6,4-3,40-A",1/4,3/1
1,"6-3,3-6,4-3,40-40",2/9,10/3
2,"6-3,3-6,4-3,A-40",1/7,9/2
1,"6-3,3-6,4-3,40-40",2/9,10/3
1,"6-3,3-6,4-3,A-40",1/7,9/2
1,"6-3,3-6,5-3,0-0",1/12,7/1
1,"6-3,3-6,5-3,15-0",1/16,9/1
1,"6-3,3-6,5-3,30-0",1/20,10/1
1,"6-3,3-6,5-3,40-0",1/20,10/1
2,"6-3,3-6,6-3,0-0,0-0",1/20,10/1
2,"6-3,3-6,6-3,0-0,0-15",1/20,10/1
2,"6-3,3-6,6-3,0-0,0-30",1/20,10/1
1,"6-3,3-6,6-3,0-0,0-40",1/16,9/1
2,"6-3,3-6,6-3,0-0,15-40",1/20,10/1
2,"6-3,3-6,6-3,0-1,0-0",1/16,9/1
1,"6-3,3-6,6-3,0-1,0-15",1/12,7/1
1,"6-3,3-6,6-3,0-1,15-15",1/16,9/1
1,"6-3,3-6,6-3,0-1,30-15",1/16,9/1
1,"6-3,3-6,6-3,0-1,40-15",1/20,10/1
2,"6-3,3-6,6-3,1-1,0-0",1/20,10/1
2,"6-3,3-6,6-3,1-1,0-15",1/16,9/1
1,"6-3,3-6,6-3,1-1,0-30",1/16,9/1
1,"6-3,3-6,6-3,1-1,15-30",1/20,10/1
1,"6-3,3-6,6-3,1-1,30-30",1/25,12/1
1,"6-3,3-6,6-3,1-1,40-30",1/33,14/1
1,"6-3,3-6,6-3,2-1,0-0",1/80,22/1
1,"6-3,3-6,6-3,2-1,15-0",1/100,25/1
2,"6-3,3-6,6-3,2-1,30-0",1/150,28/1
1,"6-3,3-6,6-3,2-1,30-15",1/100,25/1
1,"6-3,3-6,6-3,2-1,40-15",1/150,28/1
2,"6-3,3-6,6-3,3-1,0-0",1/150,28/1
2,"6-3,3-6,6-3,3-1,0-15",1/100,25/1
2,"6-3,3-6,6-3,3-1,0-30",1/100,25/1
2,"6-3,3-6,6-3,3-1,0-40",1/80,22/1
2,"6-3,3-6,6-3,3-2,0-0",1/80,22/1
1,"6-3,3-6,6-3,3-2,0-15",1/50,18/1
1,"6-3,3-6,6-3,3-2,15-15",1/66,20/1
1,"6-3,3-6,6-3,3-2,30-15",1/100,25/1
1,"6-3,3-6,6-3,3-2,40-15",1/150,28/1
2,"6-3,3-6,6-3,4-2,0-0",1/150,28/1
1,"6-3,3-6,6-3,4-2,0-15",1/150,28/1
1,"6-3,3-6,6-3,4-2,15-15",1/150,28/1
2,"6-3,3-6,6-3,4-2,30-15",1/250,40/1
1,"6-3,3-6,6-3,4-2,30-30",1/200,33/1
2,"6-3,3-6,6-3,4-2,40-30",1/250,40/1
1,"6-3,3-6,6-3,4-2,40-40",1/200,33/1
1,"6-3,3-6,6-3,4-2,A-40",1/500,50/1
2,"6-3,3-6,6-3,5-2,0-0",1/1000,100/1
1,"6-3,3-6,6-3,5-2,0-15",1/1000,100/1
1,"6-3,3-6,6-3,5-2,15-15",1/1000,100/1
2,"6-3,3-6,6-3,5-2,30-15",1/1000,100/1
1,"6-3,3-6,6-3,5-2,30-30",1/1000,100/1
1,"6-3,3-6,6-3,5-2,40-30",1/1000,0/0
