,id,home_od,away_od,ss,add_time
351,324281856,1.444,2.625,"0-0,0-0",1681548425
350,324282592,1.400,2.750,"0-0,15-15",1681549738
191,57426268,1.363,3.000,"0-0,15-30",1681549747
190,57426321,1.400,2.750,"0-0,15-40",1681549797
347,324282671,1.615,2.200,"0-1,0-0",1681549813
189,57426399,1.363,3.000,"0-1,15-0",1681549908
188,57426417,1.333,3.250,"0-1,30-0",1681549926
187,57426470,1.363,3.000,"0-1,30-15",1681549972
183,57426550,1.363,3.000,"0-1,40-15",1681550030
182,57426568,1.333,3.250,"1-1,0-0",1681550041
181,57426613,1.363,3.000,"1-1,0-15",1681550080
180,57426640,1.444,2.625,"1-1,0-40",1681550105
178,57426793,1.444,2.625,"1-2,0-0",1681550257
176,57426805,1.400,2.750,"1-2,15-0",1681550273
174,57426893,1.400,2.750,"1-2,30-0",1681550335
172,57426908,1.363,3.000,"1-2,40-0",1681550345
171,57426931,1.333,3.250,"2-2,0-0",1681550358
167,57427004,1.285,3.500,"2-2,15-0",1681550438
166,57427033,1.200,4.333,"2-2,40-0",1681550471
161,57427143,1.250,3.750,"2-2,40-30",1681550538
160,57427157,-,-,"2-2,40-15",1681550544
152,57427371,1.250,3.750,"2-2,A-40",1681550705
150,57427440,1.300,3.400,"2-2,40-40",1681550749
149,57427465,1.181,4.500,"3-2,0-0",1681550768
148,57427657,1.166,5.000,"3-2,15-0",1681550902
301,324283945,1.083,8.000,"3-2,40-15",1681550954
300,324283988,1.111,6.500,"3-2,30-15",1681550990
147,57427834,1.142,5.500,"4-2,0-0",1681551049
144,57427980,1.111,6.500,"4-2,40-15",1681551151
143,57427986,1.125,6.000,"4-2,30-15",1681551158
142,57427997,1.100,7.000,"5-2,0-0",1681551166
141,57428124,1.083,8.000,"5-2,30-0",1681551282
140,57428162,1.071,9.000,"5-2,40-0",1681551308
289,324284396,1.250,3.750,"6-2,0-0,0-0",1681551326
139,57428326,1.050,11.000,"6-2,0-0,15-0",1681551459
138,57428351,1.040,13.000,"6-2,0-0,30-0",1681551479
137,57428364,1.050,11.000,"6-2,0-0,30-15",1681551489
285,324284616,1.166,5.000,"6-2,0-0,40-30",1681551534
136,57428417,1.040,13.000,"6-2,0-0,40-15",1681551537
133,57428542,1.062,10.000,"6-2,0-0,40-40",1681551649
132,57428559,1.083,8.000,"6-2,0-0,40-A",1681551663
129,57428687,1.100,7.000,"6-2,0-1,0-0",1681551745
127,57428737,1.071,9.000,"6-2,0-1,30-0",1681551778
126,57428745,1.083,8.000,"6-2,0-1,15-0",1681551783
123,57428860,1.071,9.000,"6-2,0-1,40-0",1681551868
122,57428896,1.062,10.000,"6-2,1-1,0-0",1681551890
121,57428905,1.050,11.000,"6-2,1-1,15-0",1681551897
120,57428943,1.040,13.000,"6-2,1-1,30-0",1681551929
119,57428998,1.050,11.000,"6-2,1-1,30-15",1681551970
118,57429040,1.062,10.000,"6-2,1-1,30-30",1681552002
115,57429124,1.083,8.000,"6-2,1-1,30-40",1681552060
108,57429256,1.040,13.000,"6-2,1-1,A-40",1681552132
106,57429304,1.071,9.000,"6-2,1-1,40-A",1681552162
104,57429336,1.062,10.000,"6-2,1-1,40-40",1681552197
101,57429596,1.111,6.500,"6-2,1-2,0-15",1681552349
100,57429602,1.100,7.000,"6-2,1-2,0-0",1681552358
96,57429669,1.142,5.500,"6-2,1-2,0-30",1681552415
95,57429682,1.125,6.000,"6-2,1-2,15-30",1681552426
92,57429727,1.166,5.000,"6-2,1-2,15-40",1681552464
89,57429762,1.142,5.500,"6-2,1-2,30-40",1681552486
83,57430067,1.142,5.500,"6-2,1-2,40-A",1681552690
72,57430364,1.125,6.000,"6-2,1-2,40-40",1681552908
71,57430379,1.100,7.000,"6-2,1-2,A-40",1681552916
70,57430519,1.083,8.000,"6-2,2-2,0-0",1681552993
69,57430585,1.125,6.000,"6-2,2-2,15-40",1681553052
68,57430657,1.111,6.500,"6-2,2-2,30-40",1681553110
65,57430844,1.125,6.000,"6-2,2-3,0-0",1681553252
64,57430847,1.111,6.500,"6-2,2-3,15-0",1681553257
63,57430860,1.142,5.500,"6-2,2-3,15-15",1681553274
59,57431007,1.181,4.500,"6-2,2-3,15-30",1681553389
57,57431019,1.250,3.750,"6-2,2-3,15-40",1681553395
56,57431046,1.300,3.400,"6-2,2-4,0-0",1681553413
55,57431132,1.285,3.500,"6-2,2-4,15-15",1681553494
53,57431197,1.285,3.500,"6-2,2-4,30-30",1681553557
52,57431255,1.363,3.000,"6-2,2-5,0-0",1681553589
51,57431346,1.400,2.750,"6-2,2-5,0-15",1681553661
198,324287674,6.000,1.125,"6-2,2-5,15-15",1681553696
50,57431394,1.363,3.000,"6-2,2-5,30-15",1681553714
49,57431477,1.333,3.250,"6-2,3-5,0-0",1681553781
48,57431543,1.400,2.750,"6-2,3-5,0-15",1681553825
46,57431649,1.500,2.500,"6-2,3-5,0-40",1681553912
45,57431661,1.444,2.625,"6-2,3-6,0-0,0-0",1681553924
44,57431866,1.571,2.250,"6-2,3-6,0-0,0-15",1681554054
41,57431935,1.500,2.500,"6-2,3-6,0-0,15-15",1681554108
38,57432019,1.400,2.750,"6-2,3-6,0-0,30-15",1681554174
36,57432048,1.333,3.250,"6-2,3-6,0-0,40-15",1681554190
35,57432111,1.300,3.400,"6-2,3-6,1-0,15-15",1681554235
33,57432265,1.222,4.000,"6-2,3-6,1-0,30-15",1681554312
32,57432319,1.200,4.333,"6-2,3-6,1-0,40-30",1681554347
28,57432480,1.285,3.500,"6-2,3-6,1-0,40-40",1681554450
27,57432508,1.200,4.333,"6-2,3-6,1-0,A-40",1681554475
23,57432818,1.111,6.500,"6-2,3-6,2-0,0-0",1681554690
22,57432853,1.100,7.000,"6-2,3-6,2-0,15-0",1681554715
21,57432871,1.071,9.000,"6-2,3-6,2-0,40-0",1681554727
20,57432944,1.062,10.000,"6-2,3-6,3-0,0-0",1681554789
19,57433137,1.071,9.000,"6-2,3-6,3-0,15-30",1681554924
16,57433191,1.062,10.000,"6-2,3-6,3-0,30-30",1681554960
15,57433209,1.040,13.000,"6-2,3-6,3-0,40-30",1681554966
12,57433318,1.015,21.000,"6-2,3-6,4-0,0-0",1681555042
11,57433348,1.010,26.000,"6-2,3-6,4-0,15-0",1681555060
9,57433448,1.005,34.000,"6-2,3-6,4-0,30-0",1681555117
8,57433466,1.002,51.000,"6-2,3-6,5-0,0-0",1681555127
7,57433638,1.004,41.000,"6-2,3-6,5-0,0-30",1681555226
4,57433837,1.002,51.000,"6-2,3-6,5-0,40-40",1681555380
0,57433922,-,-,"6-2,3-6,5-0,A-40",1681555451
