,id,home_od,away_od,ss,add_time
182,35481329,-,-,"0-0,0-0",1624454769
178,35481363,-,-,"0-0,0-15",1624454786
176,35481413,2.375,1.533,"0-0,0-30",1624454816
175,35481448,2.250,1.571,"0-0,15-30",1624454835
174,35481494,2.375,1.533,"0-0,15-40",1624454861
173,35481542,2.200,1.615,"0-0,30-40",1624454890
172,35481589,2.375,1.533,"0-1,0-0",1624454917
171,35481689,2.500,1.500,"0-1,0-15",1624454974
170,35481724,2.375,1.533,"0-1,15-15",1624454991
169,35481782,2.625,1.444,"0-1,15-30",1624455027
168,35481864,2.500,1.500,"0-1,30-30",1624455075
167,35481917,2.750,1.400,"0-1,30-40",1624455103
166,35481967,2.500,1.500,"0-1,40-40",1624455133
165,35482019,2.250,1.571,"0-1,A-40",1624455169
164,35482084,2.200,1.615,"1-1,0-0",1624455218
163,35482135,2.250,1.571,"1-1,0-15",1624455253
162,35482189,2.200,1.615,"1-1,15-15",1624455284
161,35482241,2.000,1.750,"1-1,30-15",1624455311
160,35482288,2.100,1.666,"1-1,30-30",1624455338
159,35482327,2.250,1.571,"1-1,30-40",1624455359
158,35482375,2.375,1.533,"1-2,0-0",1624455387
157,35482582,2.250,1.571,"1-2,15-0",1624455493
156,35482614,2.500,1.500,"1-2,15-15",1624455515
155,35482667,2.625,1.444,"1-2,15-30",1624455545
154,35482718,2.500,1.500,"1-2,30-30",1624455575
153,35482766,2.750,1.400,"1-2,30-40",1624455603
152,35482839,3.500,1.285,"1-3,0-0",1624455646
151,35482909,3.750,1.250,"1-3,0-15",1624455688
374,301535529,8.000,1.083,"1-3,0-30",1624455716
150,35483053,3.500,1.285,"1-3,15-30",1624455775
149,35483083,3.750,1.250,"1-3,15-40",1624455799
148,35483135,4.000,1.222,"1-4,0-0",1624455833
147,35483333,4.333,1.200,"1-4,0-15",1624455936
146,35483338,4.000,1.222,"1-4,15-15",1624455947
145,35483378,4.500,1.181,"1-4,15-30",1624455973
144,35483407,4.333,1.200,"1-4,30-30",1624455994
143,35483476,5.000,1.166,"1-4,30-40",1624456035
139,35483776,5.000,1.166,"1-4,40-A",1624456178
138,35483843,4.500,1.181,"1-4,40-40",1624456218
137,35483905,4.333,1.200,"1-4,A-40",1624456251
136,35483950,4.000,1.222,"2-4,0-0",1624456273
135,35484028,4.333,1.200,"2-4,0-15",1624456310
134,35484082,3.750,1.250,"2-4,15-15",1624456337
132,35484192,4.000,1.222,"2-4,15-30",1624456397
131,35484238,3.750,1.250,"2-4,30-30",1624456426
130,35484293,4.333,1.200,"2-4,30-40",1624456457
129,35484328,4.500,1.181,"2-5,0-0",1624456478
128,35484520,5.000,1.166,"2-5,0-15",1624456576
338,301537374,15.000,1.030,"2-5,15-15",1624456611
125,35484718,4.500,1.181,"2-5,30-15",1624456683
124,35484722,4.333,1.200,"2-5,40-15",1624456685
123,35484748,4.500,1.181,"2-5,40-30",1624456704
122,35484801,4.333,1.200,"3-5,0-0",1624456736
121,35484873,5.000,1.166,"3-5,0-15",1624456774
120,35484928,5.500,1.142,"3-5,0-30",1624456800
117,35485036,6.000,1.125,"3-5,0-40",1624456850
116,35485072,5.500,1.142,"3-5,15-40",1624456871
317,301537939,2.500,1.500,"3-6,0-0,0-0",1624456898
115,35485318,5.000,1.166,"3-6,0-0,15-0",1624457003
114,35485356,6.000,1.125,"3-6,0-0,15-15",1624457024
113,35485478,7.000,1.100,"3-6,0-0,15-30",1624457092
112,35485516,6.000,1.125,"3-6,0-0,30-30",1624457115
111,35485572,8.000,1.083,"3-6,0-0,30-40",1624457150
110,35485624,6.000,1.125,"3-6,0-0,40-40",1624457179
109,35485693,5.500,1.142,"3-6,0-0,A-40",1624457216
108,35485733,5.000,1.166,"3-6,1-0,0-0",1624457238
107,35485821,5.500,1.142,"3-6,1-0,0-15",1624457289
106,35485880,4.500,1.181,"3-6,1-0,15-15",1624457321
105,35485958,4.000,1.222,"3-6,1-0,30-15",1624457366
104,35486005,4.500,1.181,"3-6,1-0,30-30",1624457392
103,35486038,5.000,1.166,"3-6,1-0,30-40",1624457411
102,35486091,5.500,1.142,"3-6,1-1,0-0",1624457446
101,35486169,6.500,1.111,"3-6,1-1,0-15",1624457488
99,35486232,6.000,1.125,"3-6,1-1,15-15",1624457525
98,35486255,5.000,1.166,"3-6,1-1,30-15",1624457537
97,35486319,4.500,1.181,"3-6,1-1,40-15",1624457574
94,35486512,4.333,1.200,"3-6,2-1,0-0",1624457692
93,35486538,4.500,1.181,"3-6,2-1,0-15",1624457707
92,35486556,4.333,1.200,"3-6,2-1,15-15",1624457715
91,35486598,4.500,1.181,"3-6,2-1,15-30",1624457742
90,35486635,5.000,1.166,"3-6,2-1,15-40",1624457766
89,35486686,4.500,1.181,"3-6,2-1,30-40",1624457794
88,35486776,5.000,1.166,"3-6,2-2,0-0",1624457841
87,35486840,6.000,1.125,"3-6,2-2,0-15",1624457886
86,35486880,5.500,1.142,"3-6,2-2,15-15",1624457907
85,35486917,4.500,1.181,"3-6,2-2,30-15",1624457932
84,35486973,5.500,1.142,"3-6,2-2,30-30",1624457959
83,35487013,4.500,1.181,"3-6,2-2,40-30",1624457982
82,35487068,4.333,1.200,"3-6,3-2,0-0",1624458009
81,35487215,3.750,1.250,"3-6,3-2,15-0",1624458122
80,35487249,3.250,1.333,"3-6,3-2,30-0",1624458143
79,35487278,3.500,1.285,"3-6,3-2,30-15",1624458168
78,35487330,3.000,1.363,"3-6,3-2,40-15",1624458205
77,35487394,2.625,1.444,"3-6,4-2,0-0",1624458247
76,35487445,2.500,1.500,"3-6,4-2,15-0",1624458285
75,35487476,2.375,1.533,"3-6,4-2,30-0",1624458307
74,35487500,2.250,1.571,"3-6,4-2,40-0",1624458325
73,35487530,2.375,1.533,"3-6,4-2,40-15",1624458347
72,35487578,2.500,1.500,"3-6,4-2,40-30",1624458382
69,35487699,2.500,1.500,"3-6,4-2,A-40",1624458458
65,35487876,2.750,1.400,"3-6,4-2,40-40",1624458578
64,35487949,3.250,1.333,"3-6,4-2,40-A",1624458617
63,35488023,4.000,1.222,"3-6,4-3,0-0",1624458652
62,35488225,3.500,1.285,"3-6,4-3,15-0",1624458777
61,35488277,3.750,1.250,"3-6,4-3,15-15",1624458805
60,35488321,4.333,1.200,"3-6,4-3,15-30",1624458829
59,35488366,4.500,1.181,"3-6,4-3,15-40",1624458863
58,35488415,5.000,1.166,"3-6,4-4,0-0",1624458892
55,35488551,5.000,1.166,"3-6,4-4,15-0",1624458963
54,35488587,5.500,1.142,"3-6,4-4,15-15",1624458978
53,35488631,5.000,1.166,"3-6,4-4,30-15",1624459001
52,35488692,4.333,1.200,"3-6,4-4,40-15",1624459033
51,35488790,4.000,1.222,"3-6,5-4,0-0",1624459088
50,35488959,4.500,1.181,"3-6,5-4,0-15",1624459181
49,35489009,4.000,1.222,"3-6,5-4,15-15",1624459214
48,35489046,4.500,1.181,"3-6,5-4,15-30",1624459237
47,35489088,3.750,1.250,"3-6,5-4,30-30",1624459261
46,35489126,4.500,1.181,"3-6,5-4,30-40",1624459282
41,35489352,3.750,1.250,"3-6,5-4,40-40",1624459399
40,35489396,4.333,1.200,"3-6,5-4,40-A",1624459423
37,35489493,5.000,1.166,"3-6,5-5,0-0",1624459483
36,35489496,4.333,1.200,"3-6,5-5,15-0",1624459485
34,35489557,5.500,1.142,"3-6,5-5,15-15",1624459527
33,35489596,4.333,1.200,"3-6,5-5,30-15",1624459549
32,35489648,4.000,1.222,"3-6,5-5,40-15",1624459577
31,35489713,4.333,1.200,"3-6,5-5,40-30",1624459616
30,35489789,4.000,1.222,"3-6,6-5,0-0",1624459654
29,35489953,4.333,1.200,"3-6,6-5,0-15",1624459752
28,35490047,3.750,1.250,"3-6,6-5,15-15",1624459803
26,35490117,4.000,1.222,"3-6,6-5,15-30",1624459847
25,35490138,4.500,1.181,"3-6,6-5,15-40",1624459856
23,35490221,4.000,1.222,"3-6,6-5,30-40",1624459910
22,35490257,5.000,1.166,"3-6,6-6,0-0",1624459935
21,35490308,4.000,1.222,"3-6,6-6,1-0",1624459967
20,35490356,5.000,1.166,"3-6,6-6,1-1",1624460008
17,35490451,-,-,"3-6,6-6,1-2",1624460068
15,35490492,-,-,"3-6,6-6,2-2",1624460100
13,35490602,7.000,1.100,"3-6,6-6,2-3",1624460161
12,35490620,11.000,1.050,"3-6,6-6,2-4",1624460172
8,35490775,-,-,"3-6,6-6,3-4",1624460250
6,35490815,-,-,"3-6,6-6,4-4",1624460274
2,35490913,-,-,"3-6,6-6,4-5",1624460336
0,35490960,-,-,"3-6,6-6,4-6",1624460362
