,id,home_od,away_od,ss,add_time
166,29536301,1.500,2.500,"0-0,0-0",1599567863
164,29536713,-,-,"0-0,15-0",1599568418
163,29536733,1.364,3.000,"0-0,30-0",1599568444
162,29536752,1.444,2.625,"0-0,30-15",1599568460
161,29536769,1.533,2.375,"0-0,30-30",1599568487
160,29536776,1.667,2.100,"0-0,30-40",1599568506
159,29536813,1.800,1.950,"0-1,0-0",1599568561
158,29536852,1.700,2.050,"0-1,15-0",1599568625
157,29536865,1.571,2.250,"0-1,30-0",1599568648
156,29536888,1.667,2.100,"0-1,30-15",1599568674
155,29536894,1.571,2.250,"0-1,40-15",1599568696
154,29536915,1.615,2.200,"0-1,40-30",1599568719
153,29536943,1.500,2.500,"1-1,0-0",1599568762
152,29536979,1.571,2.250,"1-1,0-15",1599568809
150,29537019,1.533,2.375,"1-1,15-15",1599568852
149,29537032,1.615,2.200,"1-1,15-30",1599568869
148,29537053,1.750,2.000,"1-1,15-40",1599568895
147,29537087,1.667,2.100,"1-1,30-40",1599568932
146,29537146,1.533,2.375,"1-1,40-40",1599568995
145,29537186,1.500,2.500,"1-1,A-40",1599569035
144,29537199,1.400,2.750,"2-1,0-0",1599569050
143,29537286,1.500,2.500,"2-1,0-15",1599569153
142,29537304,1.400,2.750,"2-1,15-15",1599569172
140,29537374,1.300,3.400,"2-1,30-15",1599569252
139,29537393,1.400,2.750,"2-1,30-30",1599569272
138,29537424,1.444,2.625,"2-1,30-40",1599569303
137,29537457,1.533,2.375,"2-2,0-0",1599569336
136,29537486,1.615,2.200,"2-2,0-15",1599569368
135,29537516,1.533,2.375,"2-2,15-15",1599569407
134,29537540,1.500,2.500,"2-2,30-15",1599569432
133,29537555,1.444,2.625,"2-2,40-15",1599569450
132,29537593,1.400,2.750,"3-2,0-0",1599569485
131,29537715,1.300,3.400,"3-2,15-0",1599569634
130,29537747,1.364,3.000,"3-2,15-15",1599569676
127,29537850,1.444,2.625,"3-2,15-30",1599569800
125,29537882,1.333,3.250,"3-2,30-30",1599569833
124,29537901,1.444,2.625,"3-2,30-40",1599569847
119,29538006,1.333,3.250,"3-2,40-40",1599570008
118,29538029,1.400,2.750,"3-2,40-A",1599570040
116,29538071,1.500,2.500,"3-3,0-0",1599570095
115,29538083,1.400,2.750,"3-3,15-0",1599570111
114,29538104,1.500,2.500,"3-3,15-15",1599570140
113,29538131,1.444,2.625,"3-3,30-15",1599570178
112,29538161,1.364,3.000,"3-3,40-15",1599570203
111,29538182,1.444,2.625,"3-3,40-30",1599570243
109,29538244,1.700,2.050,"3-3,40-A",1599570337
108,29538276,1.571,2.250,"3-3,40-40",1599570397
107,29538291,1.444,2.625,"3-3,A-40",1599570410
106,29538324,1.400,2.750,"4-3,0-0",1599570453
105,29538446,1.300,3.400,"4-3,15-0",1599570606
103,29538494,1.222,4.000,"4-3,30-0",1599570663
102,29538503,1.182,4.500,"4-3,40-0",1599570673
100,29538533,1.200,4.333,"4-3,40-15",1599570711
99,29538558,1.167,5.000,"5-3,0-0",1599570740
98,29538592,1.200,4.333,"5-3,0-15",1599570783
96,29538641,-,-,"5-3,0-30",1599570856
95,29538653,1.222,4.000,"5-3,15-30",1599570874
94,29538666,1.182,4.500,"5-3,30-30",1599570896
93,29538682,1.250,3.750,"5-3,30-40",1599570922
79,29538998,1.300,3.400,"5-3,40-A",1599571331
78,29539017,1.222,4.000,"5-3,40-40",1599571346
76,29539056,1.182,4.500,"5-3,A-40",1599571388
75,29539068,1.143,5.500,"6-3,0-0,0-0",1599571406
74,29539201,1.167,5.000,"6-3,0-0,0-15",1599571602
73,29539231,1.182,4.500,"6-3,0-0,0-30",1599571638
72,29539241,1.167,5.000,"6-3,0-0,15-30",1599571650
69,29539381,1.200,4.333,"6-3,0-1,0-0",1599571836
68,29539387,1.167,5.000,"6-3,0-1,15-0",1599571844
67,29539396,1.200,4.333,"6-3,0-1,15-15",1599571864
66,29539419,1.250,3.750,"6-3,0-1,15-30",1599571902
65,29539450,1.222,4.000,"6-3,0-1,30-30",1599571940
64,29539471,1.286,3.500,"6-3,0-1,30-40",1599571967
62,29539497,1.400,2.750,"6-3,0-2,0-0",1599572003
61,29539524,1.444,2.625,"6-3,0-2,0-15",1599572043
59,29539560,-,-,"6-3,0-2,15-15",1599572098
58,29539569,1.444,2.625,"6-3,0-2,15-30",1599572115
57,29539573,1.500,2.500,"6-3,0-2,15-40",1599572123
56,29539585,1.533,2.375,"6-3,0-3,0-0",1599572139
55,29539668,1.571,2.250,"6-3,0-3,0-15",1599572283
54,29539681,1.533,2.375,"6-3,0-3,15-15",1599572308
53,29539706,1.500,2.500,"6-3,0-3,30-15",1599572346
229,295278733,3.500,1.286,"6-3,0-3,40-15",1599572357
52,29539724,1.444,2.625,"6-3,1-3,0-0",1599572378
51,29539758,1.400,2.750,"6-3,1-3,15-0",1599572433
50,29539772,1.444,2.625,"6-3,1-3,15-15",1599572451
49,29539790,1.500,2.500,"6-3,1-3,15-30",1599572492
46,29539830,1.400,2.750,"6-3,1-3,30-30",1599572565
43,29539872,1.500,2.500,"6-3,1-3,30-40",1599572628
40,29539931,1.400,2.750,"6-3,1-3,40-40",1599572727
39,29539974,1.333,3.250,"6-3,1-3,A-40",1599572786
38,29540000,1.250,3.750,"6-3,2-3,0-0",1599572836
37,29540089,1.300,3.400,"6-3,2-3,0-15",1599572973
36,29540100,1.364,3.000,"6-3,2-3,0-30",1599572998
34,29540136,1.333,3.250,"6-3,2-3,15-30",1599573058
33,29540146,1.400,2.750,"6-3,2-3,15-40",1599573074
32,29540163,1.333,3.250,"6-3,2-3,30-40",1599573108
31,29540188,1.286,3.500,"6-3,2-3,40-40",1599573146
30,29540214,1.222,4.000,"6-3,2-3,A-40",1599573189
29,29540230,1.182,4.500,"6-3,3-3,0-0",1599573212
28,29540260,1.222,4.000,"6-3,3-3,0-15",1599573256
27,29540280,-,-,"6-3,3-3,15-15",1599573283
26,29540369,1.286,3.500,"6-3,3-4,0-0",1599573413
25,29540430,1.250,3.750,"6-3,3-4,15-0",1599573503
24,29540454,1.222,4.000,"6-3,3-4,30-0",1599573536
23,29540469,1.250,3.750,"6-3,3-4,30-15",1599573562
22,29540513,1.222,4.000,"6-3,3-4,40-15",1599573610
20,29540568,-,-,"6-3,4-4,0-0",1599573686
17,29540596,1.200,4.333,"6-3,4-4,0-15",1599573717
16,29540601,1.167,5.000,"6-3,4-4,15-15",1599573725
15,29540619,1.200,4.333,"6-3,4-4,15-30",1599573749
14,29540655,1.167,5.000,"6-3,4-4,30-30",1599573792
10,29540691,-,-,"6-3,4-4,40-30",1599573848
